,spamassassin,ceas08,trec07,ling,enron,kaggle,nazario,nigerian,ephishllm,ephishllm_it,ephishllm_de
spamassassin,0.0,0.0,0.0,0.1,2.32,30.0,0.0,0.42,0.0,0.0,0.0
ceas08,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trec07,0.0,0.06,0.0,0.0,0.03,0.01,0.0,1.51,0.0,0.0,0.0
ling,0.09,0.0,0.0,0.0,0.03,14.76,0.0,0.0,0.0,0.0,0.0
enron,14.96,0.0,0.02,0.14,0.0,54.76,0.0,4.64,0.0,0.0,0.0
kaggle,87.13,0.0,0.0,91.04,36.22,0.0,0.0,2.11,0.0,0.0,0.0
nazario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nigerian,0.19,0.0,0.03,0.0,0.43,0.33,0.0,0.0,0.0,0.0,0.0
ephishllm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ephishllm_it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ephishllm_de,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
