model,setting,source,id,label,pred
distilbert,loco_clean,spamassassin,spamassassin:4742,1,1
distilbert,loco_clean,spamassassin,spamassassin:5215,1,0
distilbert,loco_clean,spamassassin,spamassassin:5738,1,1
distilbert,loco_clean,spamassassin,spamassassin:4496,1,1
distilbert,loco_clean,spamassassin,spamassassin:4625,1,1
distilbert,loco_clean,spamassassin,spamassassin:5468,1,1
distilbert,loco_clean,spamassassin,spamassassin:5352,1,1
distilbert,loco_clean,spamassassin,spamassassin:4114,1,1
distilbert,loco_clean,spamassassin,spamassassin:4693,1,1
distilbert,loco_clean,spamassassin,spamassassin:5201,1,0
distilbert,loco_clean,spamassassin,spamassassin:5497,1,1
distilbert,loco_clean,spamassassin,spamassassin:5378,1,1
distilbert,loco_clean,spamassassin,spamassassin:4430,1,1
distilbert,loco_clean,spamassassin,spamassassin:5746,1,1
distilbert,loco_clean,spamassassin,spamassassin:4692,1,1
distilbert,loco_clean,spamassassin,spamassassin:4394,1,1
distilbert,loco_clean,spamassassin,spamassassin:5420,1,1
distilbert,loco_clean,spamassassin,spamassassin:5471,1,1
distilbert,loco_clean,spamassassin,spamassassin:5118,1,1
distilbert,loco_clean,spamassassin,spamassassin:5301,1,1
distilbert,loco_clean,spamassassin,spamassassin:5185,1,1
distilbert,loco_clean,spamassassin,spamassassin:5721,1,1
distilbert,loco_clean,spamassassin,spamassassin:5037,1,1
distilbert,loco_clean,spamassassin,spamassassin:4473,1,1
distilbert,loco_clean,spamassassin,spamassassin:4169,1,1
distilbert,loco_clean,spamassassin,spamassassin:5027,1,1
distilbert,loco_clean,spamassassin,spamassassin:4907,1,1
distilbert,loco_clean,spamassassin,spamassassin:4553,1,1
distilbert,loco_clean,spamassassin,spamassassin:4422,1,0
distilbert,loco_clean,spamassassin,spamassassin:5012,1,1
distilbert,loco_clean,spamassassin,spamassassin:5781,1,1
distilbert,loco_clean,spamassassin,spamassassin:5503,1,1
distilbert,loco_clean,spamassassin,spamassassin:4848,1,1
distilbert,loco_clean,spamassassin,spamassassin:4520,1,1
distilbert,loco_clean,spamassassin,spamassassin:5509,1,1
distilbert,loco_clean,spamassassin,spamassassin:5628,1,1
distilbert,loco_clean,spamassassin,spamassassin:4617,1,1
distilbert,loco_clean,spamassassin,spamassassin:5362,1,1
distilbert,loco_clean,spamassassin,spamassassin:4792,1,1
distilbert,loco_clean,spamassassin,spamassassin:5791,1,1
distilbert,loco_clean,spamassassin,spamassassin:4389,1,1
distilbert,loco_clean,spamassassin,spamassassin:4276,1,1
distilbert,loco_clean,spamassassin,spamassassin:4869,1,1
distilbert,loco_clean,spamassassin,spamassassin:4433,1,1
distilbert,loco_clean,spamassassin,spamassassin:5169,1,1
distilbert,loco_clean,spamassassin,spamassassin:5410,1,1
distilbert,loco_clean,spamassassin,spamassassin:5740,1,1
distilbert,loco_clean,spamassassin,spamassassin:5677,1,1
distilbert,loco_clean,spamassassin,spamassassin:4673,1,1
distilbert,loco_clean,spamassassin,spamassassin:5597,1,1
distilbert,loco_clean,spamassassin,spamassassin:4541,1,1
distilbert,loco_clean,spamassassin,spamassassin:4505,1,1
distilbert,loco_clean,spamassassin,spamassassin:5751,1,1
distilbert,loco_clean,spamassassin,spamassassin:4279,1,1
distilbert,loco_clean,spamassassin,spamassassin:5300,1,1
distilbert,loco_clean,spamassassin,spamassassin:4140,1,1
distilbert,loco_clean,spamassassin,spamassassin:5057,1,0
distilbert,loco_clean,spamassassin,spamassassin:5667,1,1
distilbert,loco_clean,spamassassin,spamassassin:5325,1,0
distilbert,loco_clean,spamassassin,spamassassin:4964,1,1
distilbert,loco_clean,spamassassin,spamassassin:4680,1,1
distilbert,loco_clean,spamassassin,spamassassin:4950,1,0
distilbert,loco_clean,spamassassin,spamassassin:4569,1,1
distilbert,loco_clean,spamassassin,spamassassin:4226,1,1
distilbert,loco_clean,spamassassin,spamassassin:5743,1,1
distilbert,loco_clean,spamassassin,spamassassin:5144,1,0
distilbert,loco_clean,spamassassin,spamassassin:5001,1,1
distilbert,loco_clean,spamassassin,spamassassin:5326,1,1
distilbert,loco_clean,spamassassin,spamassassin:4773,1,1
distilbert,loco_clean,spamassassin,spamassassin:4827,1,1
distilbert,loco_clean,spamassassin,spamassassin:4407,1,1
distilbert,loco_clean,spamassassin,spamassassin:5769,1,1
distilbert,loco_clean,spamassassin,spamassassin:4570,1,1
distilbert,loco_clean,spamassassin,spamassassin:5350,1,1
distilbert,loco_clean,spamassassin,spamassassin:5689,1,1
distilbert,loco_clean,spamassassin,spamassassin:4768,1,1
distilbert,loco_clean,spamassassin,spamassassin:4868,1,1
distilbert,loco_clean,spamassassin,spamassassin:4161,1,0
distilbert,loco_clean,spamassassin,spamassassin:5080,1,1
distilbert,loco_clean,spamassassin,spamassassin:4160,1,1
distilbert,loco_clean,spamassassin,spamassassin:5629,1,1
distilbert,loco_clean,spamassassin,spamassassin:4555,1,1
distilbert,loco_clean,spamassassin,spamassassin:4362,1,1
distilbert,loco_clean,spamassassin,spamassassin:4415,1,1
distilbert,loco_clean,spamassassin,spamassassin:5615,1,1
distilbert,loco_clean,spamassassin,spamassassin:4784,1,1
distilbert,loco_clean,spamassassin,spamassassin:5360,1,1
distilbert,loco_clean,spamassassin,spamassassin:4156,1,0
distilbert,loco_clean,spamassassin,spamassassin:5683,1,1
distilbert,loco_clean,spamassassin,spamassassin:4803,1,1
distilbert,loco_clean,spamassassin,spamassassin:5684,1,1
distilbert,loco_clean,spamassassin,spamassassin:5427,1,1
distilbert,loco_clean,spamassassin,spamassassin:4562,1,1
distilbert,loco_clean,spamassassin,spamassassin:5386,1,1
distilbert,loco_clean,spamassassin,spamassassin:4342,1,1
distilbert,loco_clean,spamassassin,spamassassin:5059,1,1
distilbert,loco_clean,spamassassin,spamassassin:4120,1,1
distilbert,loco_clean,spamassassin,spamassassin:4485,1,1
distilbert,loco_clean,spamassassin,spamassassin:4970,1,1
distilbert,loco_clean,spamassassin,spamassassin:4345,1,1
distilbert,loco_clean,spamassassin,spamassassin:5079,1,1
distilbert,loco_clean,spamassassin,spamassassin:4705,1,1
distilbert,loco_clean,spamassassin,spamassassin:4121,1,1
distilbert,loco_clean,spamassassin,spamassassin:5180,1,1
distilbert,loco_clean,spamassassin,spamassassin:4206,1,1
distilbert,loco_clean,spamassassin,spamassassin:5708,1,1
distilbert,loco_clean,spamassassin,spamassassin:4458,1,1
distilbert,loco_clean,spamassassin,spamassassin:4711,1,0
distilbert,loco_clean,spamassassin,spamassassin:4572,1,1
distilbert,loco_clean,spamassassin,spamassassin:4586,1,1
distilbert,loco_clean,spamassassin,spamassassin:5763,1,1
distilbert,loco_clean,spamassassin,spamassassin:4190,1,1
distilbert,loco_clean,spamassassin,spamassassin:5208,1,1
distilbert,loco_clean,spamassassin,spamassassin:5323,1,1
distilbert,loco_clean,spamassassin,spamassassin:4338,1,1
distilbert,loco_clean,spamassassin,spamassassin:4544,1,1
distilbert,loco_clean,spamassassin,spamassassin:5640,1,1
distilbert,loco_clean,spamassassin,spamassassin:4264,1,1
distilbert,loco_clean,spamassassin,spamassassin:4865,1,1
distilbert,loco_clean,spamassassin,spamassassin:4955,1,1
distilbert,loco_clean,spamassassin,spamassassin:4700,1,1
distilbert,loco_clean,spamassassin,spamassassin:4897,1,1
distilbert,loco_clean,spamassassin,spamassassin:5727,1,1
distilbert,loco_clean,spamassassin,spamassassin:4923,1,0
distilbert,loco_clean,spamassassin,spamassassin:5076,1,1
distilbert,loco_clean,spamassassin,spamassassin:4802,1,1
distilbert,loco_clean,spamassassin,spamassassin:5785,1,1
distilbert,loco_clean,spamassassin,spamassassin:5425,1,1
distilbert,loco_clean,spamassassin,spamassassin:4516,1,0
distilbert,loco_clean,spamassassin,spamassassin:4123,1,0
distilbert,loco_clean,spamassassin,spamassassin:5331,1,1
distilbert,loco_clean,spamassassin,spamassassin:5250,1,1
distilbert,loco_clean,spamassassin,spamassassin:5344,1,1
distilbert,loco_clean,spamassassin,spamassassin:5064,1,1
distilbert,loco_clean,spamassassin,spamassassin:5021,1,1
distilbert,loco_clean,spamassassin,spamassassin:4577,1,1
distilbert,loco_clean,spamassassin,spamassassin:4871,1,1
distilbert,loco_clean,spamassassin,spamassassin:4294,1,1
distilbert,loco_clean,spamassassin,spamassassin:4679,1,1
distilbert,loco_clean,spamassassin,spamassassin:4135,1,1
distilbert,loco_clean,spamassassin,spamassassin:4651,1,1
distilbert,loco_clean,spamassassin,spamassassin:4621,1,1
distilbert,loco_clean,spamassassin,spamassassin:5023,1,0
distilbert,loco_clean,spamassassin,spamassassin:5474,1,1
distilbert,loco_clean,spamassassin,spamassassin:4150,1,1
distilbert,loco_clean,spamassassin,spamassassin:4530,1,1
distilbert,loco_clean,spamassassin,spamassassin:4330,1,1
distilbert,loco_clean,spamassassin,spamassassin:5098,1,1
distilbert,loco_clean,spamassassin,spamassassin:4388,1,1
distilbert,loco_clean,spamassassin,spamassassin:5724,1,1
distilbert,loco_clean,spamassassin,spamassassin:599,0,0
distilbert,loco_clean,spamassassin,spamassassin:752,0,0
distilbert,loco_clean,spamassassin,spamassassin:2019,0,1
distilbert,loco_clean,spamassassin,spamassassin:1001,0,0
distilbert,loco_clean,spamassassin,spamassassin:3567,0,0
distilbert,loco_clean,spamassassin,spamassassin:4065,0,0
distilbert,loco_clean,spamassassin,spamassassin:682,0,0
distilbert,loco_clean,spamassassin,spamassassin:325,0,0
distilbert,loco_clean,spamassassin,spamassassin:166,0,0
distilbert,loco_clean,spamassassin,spamassassin:1034,0,0
distilbert,loco_clean,spamassassin,spamassassin:3580,0,1
distilbert,loco_clean,spamassassin,spamassassin:857,0,0
distilbert,loco_clean,spamassassin,spamassassin:109,0,0
distilbert,loco_clean,spamassassin,spamassassin:2775,0,0
distilbert,loco_clean,spamassassin,spamassassin:1811,0,0
distilbert,loco_clean,spamassassin,spamassassin:149,0,0
distilbert,loco_clean,spamassassin,spamassassin:2706,0,0
distilbert,loco_clean,spamassassin,spamassassin:298,0,0
distilbert,loco_clean,spamassassin,spamassassin:1395,0,0
distilbert,loco_clean,spamassassin,spamassassin:1641,0,0
distilbert,loco_clean,spamassassin,spamassassin:1593,0,0
distilbert,loco_clean,spamassassin,spamassassin:1909,0,0
distilbert,loco_clean,spamassassin,spamassassin:179,0,0
distilbert,loco_clean,spamassassin,spamassassin:33,0,0
distilbert,loco_clean,spamassassin,spamassassin:2440,0,0
distilbert,loco_clean,spamassassin,spamassassin:2002,0,1
distilbert,loco_clean,spamassassin,spamassassin:3953,0,0
distilbert,loco_clean,spamassassin,spamassassin:1330,0,0
distilbert,loco_clean,spamassassin,spamassassin:1027,0,0
distilbert,loco_clean,spamassassin,spamassassin:2787,0,0
distilbert,loco_clean,spamassassin,spamassassin:555,0,1
distilbert,loco_clean,spamassassin,spamassassin:1740,0,0
distilbert,loco_clean,spamassassin,spamassassin:3121,0,0
distilbert,loco_clean,spamassassin,spamassassin:1018,0,0
distilbert,loco_clean,spamassassin,spamassassin:2949,0,0
distilbert,loco_clean,spamassassin,spamassassin:1258,0,0
distilbert,loco_clean,spamassassin,spamassassin:229,0,0
distilbert,loco_clean,spamassassin,spamassassin:1866,0,0
distilbert,loco_clean,spamassassin,spamassassin:1164,0,0
distilbert,loco_clean,spamassassin,spamassassin:2835,0,0
distilbert,loco_clean,spamassassin,spamassassin:3620,0,0
distilbert,loco_clean,spamassassin,spamassassin:3878,0,0
distilbert,loco_clean,spamassassin,spamassassin:1173,0,0
distilbert,loco_clean,spamassassin,spamassassin:3256,0,0
distilbert,loco_clean,spamassassin,spamassassin:3244,0,0
distilbert,loco_clean,spamassassin,spamassassin:96,0,0
distilbert,loco_clean,spamassassin,spamassassin:501,0,0
distilbert,loco_clean,spamassassin,spamassassin:1186,0,0
distilbert,loco_clean,spamassassin,spamassassin:3801,0,0
distilbert,loco_clean,spamassassin,spamassassin:2727,0,0
distilbert,loco_clean,spamassassin,spamassassin:2936,0,0
distilbert,loco_clean,spamassassin,spamassassin:2510,0,0
distilbert,loco_clean,spamassassin,spamassassin:132,0,0
distilbert,loco_clean,spamassassin,spamassassin:869,0,0
distilbert,loco_clean,spamassassin,spamassassin:527,0,0
distilbert,loco_clean,spamassassin,spamassassin:3950,0,0
distilbert,loco_clean,spamassassin,spamassassin:3443,0,0
distilbert,loco_clean,spamassassin,spamassassin:3160,0,0
distilbert,loco_clean,spamassassin,spamassassin:2484,0,0
distilbert,loco_clean,spamassassin,spamassassin:305,0,0
distilbert,loco_clean,spamassassin,spamassassin:1041,0,0
distilbert,loco_clean,spamassassin,spamassassin:2409,0,0
distilbert,loco_clean,spamassassin,spamassassin:308,0,0
distilbert,loco_clean,spamassassin,spamassassin:3598,0,0
distilbert,loco_clean,spamassassin,spamassassin:2644,0,0
distilbert,loco_clean,spamassassin,spamassassin:1846,0,0
distilbert,loco_clean,spamassassin,spamassassin:2405,0,0
distilbert,loco_clean,spamassassin,spamassassin:802,0,0
distilbert,loco_clean,spamassassin,spamassassin:2728,0,0
distilbert,loco_clean,spamassassin,spamassassin:3531,0,0
distilbert,loco_clean,spamassassin,spamassassin:1309,0,0
distilbert,loco_clean,spamassassin,spamassassin:2295,0,1
distilbert,loco_clean,spamassassin,spamassassin:196,0,0
distilbert,loco_clean,spamassassin,spamassassin:366,0,0
distilbert,loco_clean,spamassassin,spamassassin:2726,0,0
distilbert,loco_clean,spamassassin,spamassassin:976,0,0
distilbert,loco_clean,spamassassin,spamassassin:2111,0,0
distilbert,loco_clean,spamassassin,spamassassin:2720,0,0
distilbert,loco_clean,spamassassin,spamassassin:3863,0,0
distilbert,loco_clean,spamassassin,spamassassin:2632,0,0
