test_set,model,setting,n_with_placeholder,n_without,recall_with_placeholder,recall_without,gap,false_alarm,caught_only_with_token
ephishllm,Llama-3.2-3B few-shot AI,llm_few_ai,94,56,0.617,0.25,0.367,0.0,
ephishllm,Llama-3.2-3B,llm_zero,94,56,0.468,0.125,0.343,0.0,
ephishllm,Qwen-2.5-7B few-shot,llm_few,94,56,0.543,0.232,0.31,0.0,
ephishllm,Llama-3.1-8B,llm_zero,94,56,0.809,0.518,0.291,0.013,
ephishllm,Qwen-2.5-7B few-shot mixed,llm_few_mix,94,56,0.606,0.339,0.267,0.0,
ephishllm,Qwen-2.5-7B,llm_zero,94,56,0.777,0.554,0.223,0.0,
ephishllm,Qwen-2.5-7B few-shot AI,llm_few_ai,94,56,0.649,0.429,0.22,0.0,
ephishllm,Phi-4-14B,llm_zero,94,56,0.691,0.5,0.191,0.013,
ephishllm,GPT-4o-mini,llm_zero,94,56,0.915,0.732,0.183,0.0,
ephishllm,TF-IDF + NB,loco_clean,94,56,0.574,0.393,0.182,0.1,
ephishllm,TF-IDF + NB,loco_raw,94,56,0.574,0.393,0.182,0.1,
ephishllm,Llama-3.2-3B few-shot,llm_few,94,56,0.34,0.179,0.162,0.0,
ephishllm,TF-IDF + LogReg,loco_clean,94,56,0.691,0.536,0.156,0.347,
ephishllm,TF-IDF + LogReg,loco_raw,94,56,0.691,0.536,0.156,0.347,
ephishllm,Gemini-3.1-Flash-Lite,llm_zero,94,56,1.0,0.857,0.143,0.047,
ephishllm,DistilBERT,loco_clean,94,56,0.479,0.393,0.086,0.207,
ephishllm,Phishsense-1B (published),pretrained,94,56,0.862,0.786,0.076,0.153,
ephishllm,Gemma-3-12B,llm_zero,94,56,1.0,0.964,0.036,0.08,
ephishllm,BERT-phishing (published),pretrained,94,56,0.351,0.321,0.03,0.107,
ephishllm,Llama-3.2-1B,llm_zero,94,56,0.394,0.393,0.001,0.267,
ephishllm,Phi-4-14B relaxed,llm_long,94,56,0.691,0.714,-0.023,0.3,
ephishllm,ModernBERT-phishing (published),pretrained,94,56,0.064,0.125,-0.061,0.08,
ephishllm paired,GPT-4o-mini,llm_zero,94,0,0.915,0.819,0.096,,9.0
ephishllm paired,Qwen-2.5-7B,llm_zero,94,0,0.777,0.745,0.032,,5.0
ephishllm paired,Gemini-3.1-Flash-Lite,llm_zero,94,0,1.0,0.979,0.021,,2.0
ephishllm paired,Llama-3.1-8B,llm_zero,94,0,0.809,0.787,0.021,,5.0
ephishllm paired,Phi-4-14B relaxed,llm_long,94,0,0.691,0.67,0.021,,15.0
ephishllm paired,Phishsense-1B (published),pretrained,94,0,0.862,0.84,0.021,,3.0
ephishllm paired,TF-IDF + LogReg,loco_clean,94,0,0.691,0.681,0.011,,1.0
ephishllm paired,TF-IDF + LogReg,loco_raw,94,0,0.691,0.681,0.011,,1.0
ephishllm paired,DistilBERT,loco_clean,94,0,0.479,0.479,0.0,,0.0
ephishllm paired,Gemma-3-12B,llm_zero,94,0,1.0,1.0,0.0,,0.0
ephishllm paired,TF-IDF + NB,loco_clean,94,0,0.574,0.574,0.0,,0.0
ephishllm paired,TF-IDF + NB,loco_raw,94,0,0.574,0.574,0.0,,0.0
ephishllm paired,BERT-phishing (published),pretrained,94,0,0.351,0.404,-0.053,,0.0
ephishllm paired,ModernBERT-phishing (published),pretrained,94,0,0.064,0.117,-0.053,,0.0
ephishllm_de,Llama-3.2-3B,llm_zero,82,68,0.634,0.412,0.222,0.0,
ephishllm_de,TF-IDF + NB,loco_clean,82,68,0.854,0.706,0.148,0.773,
ephishllm_de,TF-IDF + NB,loco_raw,82,68,0.854,0.706,0.148,0.773,
ephishllm_de,Llama-3.1-8B,llm_zero,82,68,0.976,0.853,0.123,0.053,
ephishllm_de,GPT-4o-mini,llm_zero,82,68,0.951,0.853,0.098,0.0,
ephishllm_de,Qwen-2.5-7B,llm_zero,82,68,0.768,0.676,0.092,0.0,
ephishllm_de,Gemini-3.1-Flash-Lite,llm_zero,82,68,1.0,0.941,0.059,0.08,
ephishllm_de,Gemma-3-12B,llm_zero,82,68,0.988,0.971,0.017,0.133,
ephishllm_de,TF-IDF + LogReg,loco_clean,82,68,1.0,0.985,0.015,0.96,
ephishllm_de,TF-IDF + LogReg,loco_raw,82,68,1.0,0.985,0.015,0.96,
ephishllm_de,DistilBERT,loco_clean,82,68,0.817,0.809,0.008,0.733,
ephishllm_de,Phi-4-14B relaxed,llm_long,82,68,0.756,0.75,0.006,0.473,
ephishllm_de,ModernBERT-phishing (published),pretrained,82,68,0.988,0.985,0.003,1.0,
ephishllm_de,BERT-phishing (published),pretrained,82,68,0.402,0.559,-0.156,0.247,
ephishllm_it,Llama-3.2-3B,llm_zero,76,74,0.447,0.297,0.15,0.0,
ephishllm_it,Llama-3.1-8B,llm_zero,76,74,0.934,0.838,0.096,0.033,
ephishllm_it,Phi-4-14B relaxed,llm_long,76,74,0.816,0.73,0.086,0.507,
ephishllm_it,GPT-4o-mini,llm_zero,76,74,0.934,0.851,0.083,0.0,
ephishllm_it,TF-IDF + NB,loco_clean,76,74,0.974,0.905,0.068,0.933,
ephishllm_it,TF-IDF + NB,loco_raw,76,74,0.974,0.905,0.068,0.933,
ephishllm_it,Gemini-3.1-Flash-Lite,llm_zero,76,74,0.987,0.932,0.054,0.027,
ephishllm_it,Qwen-2.5-7B,llm_zero,76,74,0.645,0.595,0.05,0.007,
ephishllm_it,Gemma-3-12B,llm_zero,76,74,1.0,0.959,0.041,0.087,
ephishllm_it,BERT-phishing (published),pretrained,76,74,0.974,0.946,0.028,0.88,
ephishllm_it,ModernBERT-phishing (published),pretrained,76,74,1.0,0.986,0.014,0.993,
ephishllm_it,TF-IDF + LogReg,loco_clean,76,74,1.0,1.0,0.0,1.0,
ephishllm_it,TF-IDF + LogReg,loco_raw,76,74,1.0,1.0,0.0,1.0,
ephishllm_it,DistilBERT,loco_clean,76,74,0.947,1.0,-0.053,0.967,
