answer,tokens_in,tokens_out,cost_usd,latency_s,id,source,label,model,mode,pred_raw
phishing,724,3,7.3e-05,2.468,spamassassin:4742,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,732,3,7.38e-05,2.128,spamassassin:5215,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,737,3,7.43e-05,2.909,spamassassin:5738,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,643,3,6.49e-05,2.564,spamassassin:4496,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,765,3,7.71e-05,2.144,spamassassin:4625,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,524,3,5.3e-05,3.587,spamassassin:5468,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,792,3,7.98e-05,0.792,spamassassin:5352,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,447,3,4.53e-05,0.465,spamassassin:4114,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
spam,890,2,8.94e-05,0.664,spamassassin:4693,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,1293,3,0.0001299,0.59,spamassassin:5201,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,755,3,7.61e-05,0.943,spamassassin:5497,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,595,3,6.01e-05,0.67,spamassassin:5378,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,663,3,6.69e-05,0.683,spamassassin:4430,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
spam,723,2,7.27e-05,0.618,spamassassin:5746,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,639,3,6.45e-05,0.595,spamassassin:4692,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
spam,1024,2,0.0001028,0.579,spamassassin:4394,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
spam,811,2,8.15e-05,0.557,spamassassin:5420,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,1247,3,0.0001253,0.752,spamassassin:5471,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,713,3,7.19e-05,0.55,spamassassin:5118,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,767,3,7.73e-05,0.587,spamassassin:5301,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,755,3,7.61e-05,1.962,spamassassin:5185,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,663,3,6.69e-05,0.584,spamassassin:5721,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,599,3,6.05e-05,0.486,spamassassin:5037,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
phishing,716,3,7.22e-05,0.722,spamassassin:4473,spamassassin,1,qwen/qwen-2.5-7b-instruct,few,1
