threshold,source,emails_with_copy_elsewhere,corpus_size,pct
0.7,spamassassin,5164,5803,88.99
0.7,ceas08,72,39091,0.18
0.7,trec07,188,53638,0.35
0.7,ling,2608,2858,91.25
0.7,enron,12185,29604,41.16
0.7,kaggle,16712,17505,95.47
0.7,nazario,0,1554,0.0
0.7,nigerian,334,3316,10.07
0.7,ephishllm,0,11502,0.0
0.7,ephishllm_it,0,2701,0.0
0.7,ephishllm_de,0,2349,0.0
0.8,spamassassin,5086,5803,87.64
0.8,ceas08,25,39091,0.06
0.8,trec07,137,53638,0.26
0.8,ling,2603,2858,91.08
0.8,enron,10814,29604,36.53
0.8,kaggle,16377,17505,93.56
0.8,nazario,0,1554,0.0
0.8,nigerian,201,3316,6.06
0.8,ephishllm,0,11502,0.0
0.8,ephishllm_it,0,2701,0.0
0.8,ephishllm_de,0,2349,0.0
0.9,spamassassin,4969,5803,85.63
0.9,ceas08,4,39091,0.01
0.9,trec07,32,53638,0.06
0.9,ling,2518,2858,88.1
0.9,enron,8553,29604,28.89
0.9,kaggle,15051,17505,85.98
0.9,nazario,0,1554,0.0
0.9,nigerian,85,3316,2.56
0.9,ephishllm,0,11502,0.0
0.9,ephishllm_it,0,2701,0.0
0.9,ephishllm_de,0,2349,0.0
