model,setting,source,id,label,pred
distilbert,loco_clean,nazario,nazario:1523,1,1
distilbert,loco_clean,nazario,nazario:270,1,1
distilbert,loco_clean,nazario,nazario:353,1,1
distilbert,loco_clean,nazario,nazario:354,1,0
distilbert,loco_clean,nazario,nazario:916,1,1
distilbert,loco_clean,nazario,nazario:240,1,1
distilbert,loco_clean,nazario,nazario:352,1,1
distilbert,loco_clean,nazario,nazario:1372,1,1
distilbert,loco_clean,nazario,nazario:416,1,1
distilbert,loco_clean,nazario,nazario:1046,1,1
distilbert,loco_clean,nazario,nazario:1188,1,0
distilbert,loco_clean,nazario,nazario:351,1,1
distilbert,loco_clean,nazario,nazario:65,1,1
distilbert,loco_clean,nazario,nazario:1243,1,1
distilbert,loco_clean,nazario,nazario:30,1,1
distilbert,loco_clean,nazario,nazario:1265,1,1
distilbert,loco_clean,nazario,nazario:1316,1,0
distilbert,loco_clean,nazario,nazario:1504,1,1
distilbert,loco_clean,nazario,nazario:175,1,0
distilbert,loco_clean,nazario,nazario:168,1,1
distilbert,loco_clean,nazario,nazario:985,1,0
distilbert,loco_clean,nazario,nazario:1359,1,1
distilbert,loco_clean,nazario,nazario:532,1,1
distilbert,loco_clean,nazario,nazario:1173,1,1
distilbert,loco_clean,nazario,nazario:522,1,0
distilbert,loco_clean,nazario,nazario:1520,1,1
distilbert,loco_clean,nazario,nazario:438,1,1
distilbert,loco_clean,nazario,nazario:239,1,1
distilbert,loco_clean,nazario,nazario:765,1,1
distilbert,loco_clean,nazario,nazario:59,1,1
distilbert,loco_clean,nazario,nazario:405,1,1
distilbert,loco_clean,nazario,nazario:711,1,0
distilbert,loco_clean,nazario,nazario:478,1,0
distilbert,loco_clean,nazario,nazario:162,1,1
distilbert,loco_clean,nazario,nazario:888,1,1
distilbert,loco_clean,nazario,nazario:859,1,1
distilbert,loco_clean,nazario,nazario:1182,1,0
distilbert,loco_clean,nazario,nazario:1542,1,0
distilbert,loco_clean,nazario,nazario:471,1,0
distilbert,loco_clean,nazario,nazario:184,1,1
distilbert,loco_clean,nazario,nazario:701,1,1
distilbert,loco_clean,nazario,nazario:1288,1,0
distilbert,loco_clean,nazario,nazario:494,1,1
distilbert,loco_clean,nazario,nazario:1216,1,1
distilbert,loco_clean,nazario,nazario:380,1,1
distilbert,loco_clean,nazario,nazario:1381,1,1
distilbert,loco_clean,nazario,nazario:692,1,0
distilbert,loco_clean,nazario,nazario:610,1,1
distilbert,loco_clean,nazario,nazario:1321,1,0
distilbert,loco_clean,nazario,nazario:339,1,1
distilbert,loco_clean,nazario,nazario:124,1,1
distilbert,loco_clean,nazario,nazario:974,1,0
distilbert,loco_clean,nazario,nazario:275,1,1
distilbert,loco_clean,nazario,nazario:986,1,1
distilbert,loco_clean,nazario,nazario:1144,1,1
distilbert,loco_clean,nazario,nazario:1259,1,1
