model,type,in_corpus_f1,unseen_f1_mean,unseen_f1_ci,unseen_f1_worst,false_alarm_rate,false_alarm_worst,ai_phishing_f1,nazario_recall,nigerian_recall,usd_per_1000,unparsed_pct
Qwen-2.5-7B few-shot,LLM,,0.937,0.925-0.948,0.844,0.048,0.113,0.598,0.847,1.0,0.0737,0.0
Qwen-2.5-7B,LLM,,0.928,0.915-0.940,0.85,0.03,0.08,0.819,0.94,1.0,0.0307,0.0
TF-IDF + LogReg,classical,0.969,0.901,0.886-0.916,0.807,0.093,0.173,0.64,0.713,1.0,0.0,0.0
Llama-3.2-3B few-shot,LLM,,0.901,0.885-0.915,0.848,0.027,0.08,0.438,0.68,0.993,0.0371,0.0
TF-IDF + NB,classical,0.929,0.895,0.879-0.909,0.773,0.066,0.113,0.631,0.6,0.987,0.0,0.0
DistilBERT,fine-tuned encoder,0.975,0.891,0.875-0.906,0.838,0.063,0.1,0.493,0.76,0.947,0.0,0.0
Gemma-3-12B,LLM,,0.882,0.866-0.896,0.768,0.251,0.573,0.955,0.98,1.0,0.0158,0.0
Llama-3.1-8B,LLM,,0.881,0.865-0.896,0.779,0.214,0.493,0.817,0.973,1.0,0.0111,0.8
Llama-3.2-3B,LLM,,0.85,0.832-0.868,0.799,0.051,0.113,0.507,0.827,1.0,0.0163,0.1
Phi-4-14B,LLM,,0.727,0.702-0.749,0.621,0.276,0.34,0.759,0.66,0.513,0.0208,37.1
Llama-3.2-1B,LLM,,0.623,0.597-0.647,0.359,0.6,0.673,0.474,0.76,0.607,0.0087,1.0
