threshold,source,emails_with_copy_elsewhere,corpus_size,pct
0.7,spamassassin,5139,5803,88.56
0.7,ceas08,72,39091,0.18
0.7,trec07,188,53638,0.35
0.7,ling,2606,2858,91.18
0.7,enron,12050,29604,40.7
0.7,kaggle,16679,17505,95.28
0.7,nazario,0,1554,0.0
0.7,nigerian,344,3316,10.37
0.7,ephishllm,0,11502,0.0
0.7,ephishllm_it,0,2701,0.0
0.7,ephishllm_de,0,2349,0.0
0.8,spamassassin,5062,5803,87.23
0.8,ceas08,25,39091,0.06
0.8,trec07,136,53638,0.25
0.8,ling,2601,2858,91.01
0.8,enron,10722,29604,36.22
0.8,kaggle,16365,17505,93.49
0.8,nazario,0,1554,0.0
0.8,nigerian,201,3316,6.06
0.8,ephishllm,0,11502,0.0
0.8,ephishllm_it,0,2701,0.0
0.8,ephishllm_de,0,2349,0.0
0.9,spamassassin,4956,5803,85.4
0.9,ceas08,4,39091,0.01
0.9,trec07,32,53638,0.06
0.9,ling,2516,2858,88.03
0.9,enron,8499,29604,28.71
0.9,kaggle,15043,17505,85.94
0.9,nazario,0,1554,0.0
0.9,nigerian,101,3316,3.05
0.9,ephishllm,0,11502,0.0
0.9,ephishllm_it,0,2701,0.0
0.9,ephishllm_de,0,2349,0.0
