id,source,label,model,verdict,reason,pred,cost_usd,grounded,supports,judge_answer
enron:7595,enron,1,qwen/qwen-2.5-7b-instruct,phishing,the email contains suspicious links and is promoting a male enhancement product with misleading testimonials.,1,4.08e-05,1.0,1.0,grounded supports
enron:5872,enron,1,qwen/qwen-2.5-7b-instruct,legitimate,it appears to be a standard email delivery failure notification.,0,2.42e-05,1.0,1.0,grounded supports
ephishllm:1756,ephishllm,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a routine project update from a team leader to a colleague.,0,2.83e-05,1.0,1.0,grounded supports
spamassassin:2111,spamassassin,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a news update from 2002 and does not contain any suspicious elements.,0,2.09e-05,1.0,1.0,grounded supports
ephishllm:8220,ephishllm,1,qwen/qwen-2.5-7b-instruct,legitimate,"the email appears to be from a ceo requesting assistance with a financial matter, which is a common and legitimate request.",0,2.08e-05,0.0,0.0,ungrounded contradicts
kaggle:8956,kaggle,1,qwen/qwen-2.5-7b-instruct,phishing,the email contains a suspicious link and attempts to诱骗受害者进行金融操作。,1,2.11e-05,1.0,1.0,grounded supports
spamassassin:5118,spamassassin,1,qwen/qwen-2.5-7b-instruct,phishing,"the email contains multiple ""click here"" links without clear text, which is a common tactic in phishing attempts.",1,4.45e-05,1.0,1.0,grounded supports
ephishllm:5066,ephishllm,1,qwen/qwen-2.5-7b-instruct,phishing,"the email contains a suspicious download link and unsolicited offer, which is a common tactic for phishing.",1,2.63e-05,1.0,1.0,grounded supports
ceas08:4216,ceas08,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a routine update about the status of a project and does not contain any suspicious elements.,0,1.76e-05,1.0,1.0,grounded supports
ephishllm:5413,ephishllm,1,qwen/qwen-2.5-7b-instruct,phishing,"the email contains a suspicious link and urgent language, typical of phishing attempts.",1,1.8e-05,1.0,1.0,grounded supports
ephishllm:5931,ephishllm,1,qwen/qwen-2.5-7b-instruct,phishing,"the email requests immediate financial action and uses a generic greeting, which is a common tactic in phishing attempts.",1,2.18e-05,1.0,1.0,grounded supports
ceas08:5464,ceas08,1,qwen/qwen-2.5-7b-instruct,spam,the email contains explicit content and an unsolicited link.,1,1.28e-05,1.0,1.0,grounded supports
kaggle:6047,kaggle,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a promotional notice for an academic book and does not contain suspicious elements.,0,4.55e-05,1.0,1.0,grounded supports
kaggle:511,kaggle,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a simple confirmation question and lacks typical phishing elements.,0,1.29e-05,1.0,1.0,grounded supports
ephishllm:7742,ephishllm,1,qwen/qwen-2.5-7b-instruct,phishing,urgent request for financial transfer without prior verification,1,1.69e-05,1.0,1.0,grounded supports
enron:5198,enron,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a professional communication regarding work-related matters.,0,1.51e-05,1.0,1.0,grounded supports
enron:3909,enron,0,qwen/qwen-2.5-7b-instruct,legitimate,the email appears to be a professional inquiry about scheduling a call for a potential speaker engagement.,0,3.19e-05,1.0,1.0,grounded supports
