answer,tokens_in,tokens_out,cost_usd,latency_s,id,source,label,model,mode,pred_raw
phishing,385,3,3.91e-05,2.644,spamassassin:4742,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,393,3,3.99e-05,2.394,spamassassin:5215,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,398,3,4.04e-05,3.761,spamassassin:5738,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,304,3,3.1e-05,2.616,spamassassin:4496,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,426,3,4.32e-05,4.529,spamassassin:4625,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,185,3,1.91e-05,2.618,spamassassin:5468,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,453,3,4.59e-05,3.847,spamassassin:5352,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,108,3,1.14e-05,9.074,spamassassin:4114,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
legitimate,551,3,5.57e-05,4.527,spamassassin:4693,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,0
phishing,954,3,9.6e-05,1.542,spamassassin:5201,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,416,3,4.22e-05,1.611,spamassassin:5497,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,256,3,2.62e-05,0.563,spamassassin:5378,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,324,3,3.3e-05,2.877,spamassassin:4430,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
legitimate,384,3,3.9e-05,1.591,spamassassin:5746,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,0
phishing,300,3,3.06e-05,1.742,spamassassin:4692,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,685,3,6.91e-05,0.54,spamassassin:4394,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
legitimate,472,3,4.78e-05,0.612,spamassassin:5420,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,0
phishing,908,3,9.14e-05,0.632,spamassassin:5471,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,374,3,3.8e-05,0.651,spamassassin:5118,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,428,3,4.34e-05,0.747,spamassassin:5301,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,416,3,4.22e-05,0.69,spamassassin:5185,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,324,3,3.3e-05,0.736,spamassassin:5721,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,260,3,2.66e-05,0.762,spamassassin:5037,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,377,3,3.83e-05,0.622,spamassassin:4473,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,405,3,4.11e-05,0.601,spamassassin:4169,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,266,3,2.72e-05,0.631,spamassassin:5027,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,228,3,2.34e-05,1.712,spamassassin:4907,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
phishing,1154,3,0.000116,0.51,spamassassin:4553,spamassassin,1,qwen/qwen-2.5-7b-instruct,zero,1
