model,setting,source,id,label,pred,cpu_sec_per_1000
modernbert,pretrained,ephishllm,ephishllm:6684,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5664,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:9218,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:9766,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6382,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8505,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5680,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6079,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5955,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5931,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:9645,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5340,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:9153,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8344,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6523,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8949,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6108,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7519,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:4810,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8748,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8977,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7016,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5317,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7243,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:9135,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6656,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8379,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5468,1,1,307.1
modernbert,pretrained,ephishllm,ephishllm:4955,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5120,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8330,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8220,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8769,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8792,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8258,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8568,1,1,307.1
modernbert,pretrained,ephishllm,ephishllm:7742,1,1,307.1
modernbert,pretrained,ephishllm,ephishllm:5160,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5683,1,1,307.1
modernbert,pretrained,ephishllm,ephishllm:7012,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8357,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:9538,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:9230,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5873,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5587,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5292,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6278,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6007,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5278,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8831,1,1,307.1
modernbert,pretrained,ephishllm,ephishllm:7772,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:9809,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:4866,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5498,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6219,1,1,307.1
modernbert,pretrained,ephishllm,ephishllm:5413,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6647,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8120,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7020,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:9305,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6351,1,1,307.1
modernbert,pretrained,ephishllm,ephishllm:5203,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:9859,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7768,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5821,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8892,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8032,1,1,307.1
modernbert,pretrained,ephishllm,ephishllm:8824,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:9912,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5698,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5574,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6620,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:9360,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7029,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8170,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8094,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5027,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8992,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6959,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5411,1,1,307.1
modernbert,pretrained,ephishllm,ephishllm:5014,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7101,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6997,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7015,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7156,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:4938,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:9921,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6403,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8221,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6456,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:9658,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5373,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8703,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5739,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7599,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6258,1,1,307.1
modernbert,pretrained,ephishllm,ephishllm:8747,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7832,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6416,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6721,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6492,1,1,307.1
modernbert,pretrained,ephishllm,ephishllm:7567,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6214,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:4919,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8438,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:9232,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7292,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7741,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5904,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7702,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5066,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8393,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6421,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6059,1,1,307.1
modernbert,pretrained,ephishllm,ephishllm:4816,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:4852,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7201,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7887,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5288,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6566,1,1,307.1
modernbert,pretrained,ephishllm,ephishllm:9710,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:9884,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6370,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5936,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6898,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5718,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6367,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5213,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:9966,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5550,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5259,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6618,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5440,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5331,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5376,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:9257,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8451,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6002,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7299,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5284,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7673,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8759,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8807,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:4820,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5552,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6944,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:6011,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8193,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:7877,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:5694,1,0,307.1
modernbert,pretrained,ephishllm,ephishllm:561,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:893,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:1684,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:705,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:1873,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:4705,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:3015,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:3734,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:733,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:33,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:1322,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:3570,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:1756,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:2922,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:2540,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:1374,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:2628,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:598,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:179,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:1261,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:4258,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:3919,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:3265,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:2809,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:3423,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:538,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:1505,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:4469,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:3483,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:831,0,1,307.1
modernbert,pretrained,ephishllm,ephishllm:79,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:429,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:2570,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:1842,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:3764,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:765,0,1,307.1
modernbert,pretrained,ephishllm,ephishllm:1135,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:1972,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:1056,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:1421,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:501,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:227,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:2596,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:4691,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:1551,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:4244,0,1,307.1
modernbert,pretrained,ephishllm,ephishllm:1351,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:1144,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:2526,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:4182,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:1973,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:1831,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:3631,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:8,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:23,0,0,307.1
modernbert,pretrained,ephishllm,ephishllm:764,0,0,307.1
