train,test,setting,train_size,accuracy,precision,recall,f1
spamassassin,ceas08,raw,5803,0.6497,0.9134,0.4105,0.5664
spamassassin,ceas08,clean,5803,0.6497,0.9134,0.4105,0.5664
spamassassin,trec07,raw,5803,0.6864,0.8894,0.4861,0.6286
spamassassin,trec07,clean,5803,0.6864,0.8894,0.4861,0.6286
spamassassin,ling,raw,5803,0.9482,0.81,0.8843,0.8455
spamassassin,ling,clean,5799,0.9482,0.8088,0.8865,0.8458
spamassassin,enron,raw,5803,0.7371,0.8078,0.5765,0.6728
spamassassin,enron,clean,5010,0.6691,0.9323,0.3173,0.4735
spamassassin,kaggle,raw,5803,0.8436,0.8674,0.6856,0.7659
spamassassin,kaggle,clean,794,0.4984,0.4261,0.9928,0.5963
ceas08,spamassassin,raw,10000,0.7434,0.6172,0.3429,0.4409
ceas08,spamassassin,clean,10000,0.7434,0.6172,0.3429,0.4409
ceas08,trec07,raw,10000,0.7636,0.939,0.6064,0.7369
ceas08,trec07,clean,9995,0.7631,0.9392,0.6053,0.7362
ceas08,ling,raw,10000,0.8495,0.5795,0.2227,0.3218
ceas08,ling,clean,10000,0.8495,0.5795,0.2227,0.3218
ceas08,enron,raw,10000,0.7586,0.8089,0.6353,0.7117
ceas08,enron,clean,10000,0.7586,0.8089,0.6353,0.7117
ceas08,kaggle,raw,10000,0.7737,0.7681,0.5637,0.6502
ceas08,kaggle,clean,10000,0.7737,0.7681,0.5637,0.6502
trec07,spamassassin,raw,10000,0.7131,0.5072,0.9725,0.6667
trec07,spamassassin,clean,10000,0.7131,0.5072,0.9725,0.6667
trec07,ceas08,raw,10000,0.7632,0.7784,0.8041,0.791
trec07,ceas08,clean,9987,0.7633,0.7785,0.8041,0.7911
trec07,ling,raw,10000,0.3765,0.2042,0.9978,0.339
trec07,ling,clean,10000,0.3765,0.2042,0.9978,0.339
trec07,enron,raw,10000,0.5694,0.5215,0.9915,0.6835
trec07,enron,clean,9999,0.5687,0.5211,0.9915,0.6831
trec07,kaggle,raw,10000,0.5858,0.4736,0.9869,0.64
trec07,kaggle,clean,9999,0.5853,0.4733,0.9869,0.6397
ling,spamassassin,raw,2858,0.8825,0.8323,0.7535,0.7909
ling,spamassassin,clean,2856,0.8823,0.8321,0.7529,0.7906
ling,ceas08,raw,2858,0.6435,0.8758,0.42,0.5677
ling,ceas08,clean,2858,0.6435,0.8758,0.42,0.5677
ling,trec07,raw,2858,0.5883,0.8104,0.3211,0.4599
ling,trec07,clean,2858,0.5883,0.8104,0.3211,0.4599
ling,enron,raw,2858,0.6804,0.887,0.3649,0.5171
ling,enron,clean,2855,0.6809,0.8873,0.366,0.5182
ling,kaggle,raw,2858,0.7846,0.8707,0.4964,0.6323
ling,kaggle,clean,281,0.6417,0.9625,0.0413,0.0792
enron,spamassassin,raw,10000,0.4189,0.3362,0.9953,0.5027
enron,spamassassin,clean,9772,0.4673,0.3557,0.993,0.5238
enron,ceas08,raw,10000,0.7342,0.6791,0.9917,0.8062
enron,ceas08,clean,10000,0.7342,0.6791,0.9917,0.8062
enron,trec07,raw,10000,0.7093,0.6584,0.972,0.785
enron,trec07,clean,9999,0.7088,0.6579,0.9723,0.7848
enron,ling,raw,10000,0.7579,0.3974,0.9891,0.567
enron,ling,clean,9996,0.7582,0.3979,0.9913,0.5679
enron,kaggle,raw,10000,0.7778,0.6279,0.993,0.7693
enron,kaggle,clean,6569,0.7979,0.6508,0.989,0.785
kaggle,spamassassin,raw,10000,0.9797,0.9677,0.9632,0.9655
kaggle,spamassassin,clean,7065,0.7098,0.5042,0.9813,0.6661
kaggle,ceas08,raw,10000,0.8483,0.9319,0.7853,0.8523
kaggle,ceas08,clean,10000,0.8483,0.9319,0.7853,0.8523
kaggle,trec07,raw,10000,0.8282,0.8981,0.7731,0.8309
kaggle,trec07,clean,9999,0.8282,0.8981,0.7731,0.8309
kaggle,ling,raw,10000,0.9934,0.9911,0.9672,0.979
kaggle,ling,clean,8564,0.9419,0.7535,0.9476,0.8395
kaggle,enron,raw,10000,0.9717,0.9835,0.9556,0.9694
kaggle,enron,clean,4706,0.802,0.9734,0.5939,0.7377
