model,setting,source,id,label,pred
distilbert,loco_clean,ephishllm_url,ephishllm:6684,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:5664,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:9218,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:9766,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:6382,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:8505,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:5680,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:6079,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:5955,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:5931,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:9645,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:5340,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:9153,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:8344,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:6523,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:8949,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:6108,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:7519,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:4810,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:8748,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:8977,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:7016,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:5317,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:7243,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:9135,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:6656,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:8379,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:5468,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:4955,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:5120,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:8330,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:8220,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:8769,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:8792,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:8258,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:8568,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:7742,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:5160,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:5683,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:7012,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:8357,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:9538,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:9230,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:5873,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:5587,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:5292,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:6278,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:6007,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:5278,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:8831,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:7772,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:9809,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:4866,1,0
distilbert,loco_clean,ephishllm_url,ephishllm:5498,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:6219,1,1
distilbert,loco_clean,ephishllm_url,ephishllm:5413,1,1
