answer,tokens_in,tokens_out,cost_usd,latency_s,id,source,label,model,mode,pred_raw
phishing,735,3,3.84165e-05,1.085,spamassassin:4742,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,742,3,3.87728e-05,0.816,spamassassin:5215,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,756,3,3.94854e-05,0.913,spamassassin:5738,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
spam,630,2,3.216e-05,1.377,spamassassin:4496,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,755,3,3.874e-05,1.569,spamassassin:4625,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,524,3,2.719e-05,1.261,spamassassin:5468,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,789,3,4.11651e-05,0.539,spamassassin:5352,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
legitimate,466,3,2.47244e-05,1.316,spamassassin:4114,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,0
legitimate,833,3,4.34047e-05,0.555,spamassassin:4693,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,0
phishing,1257,3,6.384e-05,0.967,spamassassin:5201,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,709,3,3.70931e-05,0.615,spamassassin:5497,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,597,3,3.084e-05,1.082,spamassassin:5378,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,675,3,3.53625e-05,0.56,spamassassin:4430,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
spam,711,2,3.621e-05,0.987,spamassassin:5746,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,635,3,3.33265e-05,0.493,spamassassin:4692,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,1026,3,5.32284e-05,0.482,spamassassin:4394,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,796,3,4.15214e-05,0.841,spamassassin:5420,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,1191,3,6.16269e-05,0.504,spamassassin:5471,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,715,3,3.674e-05,1.071,spamassassin:5118,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,770,3,4.0198e-05,0.585,spamassassin:5301,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,751,3,3.854e-05,0.573,spamassassin:5185,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,662,3,3.47008e-05,0.474,spamassassin:5721,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,578,3,2.989e-05,0.547,spamassassin:5037,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,734,3,3.83656e-05,0.55,spamassassin:4473,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,733,3,3.764e-05,0.568,spamassassin:4169,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,606,3,3.129e-05,0.925,spamassassin:5027,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,585,3,3.07815e-05,0.469,spamassassin:4907,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,1385,3,7.15015e-05,1.756,spamassassin:4553,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,822,3,4.28448e-05,1.73,spamassassin:4422,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,437,3,2.32483e-05,1.621,spamassassin:5012,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,787,3,4.034e-05,0.522,spamassassin:5781,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,850,3,4.427e-05,1.418,spamassassin:5503,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,660,3,3.399e-05,0.593,spamassassin:4848,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,753,3,3.864e-05,0.819,spamassassin:4520,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,607,3,3.19013e-05,0.601,spamassassin:5509,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,780,3,4.0707e-05,0.486,spamassassin:5628,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,652,3,3.41918e-05,0.739,spamassassin:4617,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,765,3,3.99435e-05,0.47,spamassassin:5362,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,663,3,3.414e-05,0.633,spamassassin:4792,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,600,3,3.099e-05,0.566,spamassassin:5791,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,803,3,4.114e-05,0.593,spamassassin:4389,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,532,3,2.80838e-05,0.605,spamassassin:4276,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
phishing,817,3,4.25903e-05,0.509,spamassassin:4869,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few,1
