model,setting,source,id,label,pred
distilbert,loco_clean,nigerian,nigerian:2159,1,1
distilbert,loco_clean,nigerian,nigerian:1962,1,1
distilbert,loco_clean,nigerian,nigerian:240,1,1
distilbert,loco_clean,nigerian,nigerian:2554,1,1
distilbert,loco_clean,nigerian,nigerian:1626,1,1
distilbert,loco_clean,nigerian,nigerian:3070,1,0
distilbert,loco_clean,nigerian,nigerian:527,1,1
distilbert,loco_clean,nigerian,nigerian:2354,1,1
distilbert,loco_clean,nigerian,nigerian:3305,1,1
distilbert,loco_clean,nigerian,nigerian:1929,1,1
distilbert,loco_clean,nigerian,nigerian:2252,1,1
distilbert,loco_clean,nigerian,nigerian:321,1,1
distilbert,loco_clean,nigerian,nigerian:1146,1,1
distilbert,loco_clean,nigerian,nigerian:829,1,1
distilbert,loco_clean,nigerian,nigerian:2415,1,1
distilbert,loco_clean,nigerian,nigerian:2902,1,1
distilbert,loco_clean,nigerian,nigerian:354,1,1
distilbert,loco_clean,nigerian,nigerian:809,1,1
distilbert,loco_clean,nigerian,nigerian:1242,1,1
distilbert,loco_clean,nigerian,nigerian:1614,1,1
distilbert,loco_clean,nigerian,nigerian:239,1,1
distilbert,loco_clean,nigerian,nigerian:1362,1,1
distilbert,loco_clean,nigerian,nigerian:964,1,1
distilbert,loco_clean,nigerian,nigerian:1414,1,1
distilbert,loco_clean,nigerian,nigerian:463,1,1
distilbert,loco_clean,nigerian,nigerian:1483,1,1
distilbert,loco_clean,nigerian,nigerian:203,1,1
distilbert,loco_clean,nigerian,nigerian:194,1,1
distilbert,loco_clean,nigerian,nigerian:978,1,0
distilbert,loco_clean,nigerian,nigerian:2516,1,1
distilbert,loco_clean,nigerian,nigerian:314,1,1
distilbert,loco_clean,nigerian,nigerian:790,1,1
distilbert,loco_clean,nigerian,nigerian:139,1,1
distilbert,loco_clean,nigerian,nigerian:2873,1,1
distilbert,loco_clean,nigerian,nigerian:602,1,1
distilbert,loco_clean,nigerian,nigerian:291,1,1
distilbert,loco_clean,nigerian,nigerian:30,1,1
distilbert,loco_clean,nigerian,nigerian:2314,1,1
distilbert,loco_clean,nigerian,nigerian:3136,1,1
distilbert,loco_clean,nigerian,nigerian:611,1,1
distilbert,loco_clean,nigerian,nigerian:1609,1,1
distilbert,loco_clean,nigerian,nigerian:1057,1,1
distilbert,loco_clean,nigerian,nigerian:2943,1,1
distilbert,loco_clean,nigerian,nigerian:761,1,0
distilbert,loco_clean,nigerian,nigerian:1181,1,1
distilbert,loco_clean,nigerian,nigerian:1641,1,1
distilbert,loco_clean,nigerian,nigerian:1723,1,1
distilbert,loco_clean,nigerian,nigerian:322,1,1
distilbert,loco_clean,nigerian,nigerian:1509,1,1
distilbert,loco_clean,nigerian,nigerian:2655,1,1
distilbert,loco_clean,nigerian,nigerian:134,1,1
distilbert,loco_clean,nigerian,nigerian:2634,1,1
distilbert,loco_clean,nigerian,nigerian:1576,1,1
distilbert,loco_clean,nigerian,nigerian:969,1,1
distilbert,loco_clean,nigerian,nigerian:32,1,1
distilbert,loco_clean,nigerian,nigerian:501,1,1
distilbert,loco_clean,nigerian,nigerian:2639,1,1
distilbert,loco_clean,nigerian,nigerian:2761,1,1
distilbert,loco_clean,nigerian,nigerian:2909,1,1
distilbert,loco_clean,nigerian,nigerian:70,1,1
distilbert,loco_clean,nigerian,nigerian:2474,1,1
distilbert,loco_clean,nigerian,nigerian:1094,1,1
distilbert,loco_clean,nigerian,nigerian:3081,1,1
distilbert,loco_clean,nigerian,nigerian:2176,1,1
distilbert,loco_clean,nigerian,nigerian:3075,1,1
distilbert,loco_clean,nigerian,nigerian:1041,1,1
distilbert,loco_clean,nigerian,nigerian:2183,1,1
distilbert,loco_clean,nigerian,nigerian:3244,1,1
distilbert,loco_clean,nigerian,nigerian:1927,1,1
distilbert,loco_clean,nigerian,nigerian:838,1,1
distilbert,loco_clean,nigerian,nigerian:2118,1,1
distilbert,loco_clean,nigerian,nigerian:387,1,1
distilbert,loco_clean,nigerian,nigerian:1067,1,1
distilbert,loco_clean,nigerian,nigerian:52,1,1
distilbert,loco_clean,nigerian,nigerian:1575,1,0
distilbert,loco_clean,nigerian,nigerian:2673,1,1
distilbert,loco_clean,nigerian,nigerian:2553,1,1
distilbert,loco_clean,nigerian,nigerian:17,1,1
distilbert,loco_clean,nigerian,nigerian:1501,1,1
distilbert,loco_clean,nigerian,nigerian:1703,1,1
distilbert,loco_clean,nigerian,nigerian:325,1,1
distilbert,loco_clean,nigerian,nigerian:2922,1,0
distilbert,loco_clean,nigerian,nigerian:2115,1,1
distilbert,loco_clean,nigerian,nigerian:718,1,1
distilbert,loco_clean,nigerian,nigerian:2103,1,1
distilbert,loco_clean,nigerian,nigerian:478,1,1
distilbert,loco_clean,nigerian,nigerian:817,1,1
distilbert,loco_clean,nigerian,nigerian:1441,1,1
distilbert,loco_clean,nigerian,nigerian:1632,1,1
distilbert,loco_clean,nigerian,nigerian:1783,1,1
distilbert,loco_clean,nigerian,nigerian:2819,1,0
distilbert,loco_clean,nigerian,nigerian:479,1,1
distilbert,loco_clean,nigerian,nigerian:1395,1,1
distilbert,loco_clean,nigerian,nigerian:2030,1,1
distilbert,loco_clean,nigerian,nigerian:170,1,1
distilbert,loco_clean,nigerian,nigerian:80,1,1
distilbert,loco_clean,nigerian,nigerian:1255,1,1
distilbert,loco_clean,nigerian,nigerian:439,1,1
distilbert,loco_clean,nigerian,nigerian:93,1,1
distilbert,loco_clean,nigerian,nigerian:449,1,1
distilbert,loco_clean,nigerian,nigerian:2727,1,1
distilbert,loco_clean,nigerian,nigerian:3225,1,1
distilbert,loco_clean,nigerian,nigerian:937,1,1
distilbert,loco_clean,nigerian,nigerian:1793,1,0
distilbert,loco_clean,nigerian,nigerian:1457,1,1
distilbert,loco_clean,nigerian,nigerian:599,1,1
distilbert,loco_clean,nigerian,nigerian:229,1,1
distilbert,loco_clean,nigerian,nigerian:1839,1,1
distilbert,loco_clean,nigerian,nigerian:2319,1,1
distilbert,loco_clean,nigerian,nigerian:2716,1,1
distilbert,loco_clean,nigerian,nigerian:3086,1,1
distilbert,loco_clean,nigerian,nigerian:1370,1,1
distilbert,loco_clean,nigerian,nigerian:1651,1,1
distilbert,loco_clean,nigerian,nigerian:679,1,1
distilbert,loco_clean,nigerian,nigerian:2376,1,1
distilbert,loco_clean,nigerian,nigerian:2390,1,1
distilbert,loco_clean,nigerian,nigerian:1124,1,0
distilbert,loco_clean,nigerian,nigerian:1159,1,1
distilbert,loco_clean,nigerian,nigerian:3151,1,1
distilbert,loco_clean,nigerian,nigerian:864,1,1
distilbert,loco_clean,nigerian,nigerian:2308,1,1
distilbert,loco_clean,nigerian,nigerian:2304,1,1
distilbert,loco_clean,nigerian,nigerian:295,1,1
distilbert,loco_clean,nigerian,nigerian:2641,1,1
distilbert,loco_clean,nigerian,nigerian:1003,1,1
distilbert,loco_clean,nigerian,nigerian:789,1,1
distilbert,loco_clean,nigerian,nigerian:2223,1,1
distilbert,loco_clean,nigerian,nigerian:1226,1,1
distilbert,loco_clean,nigerian,nigerian:2971,1,1
distilbert,loco_clean,nigerian,nigerian:2628,1,1
distilbert,loco_clean,nigerian,nigerian:183,1,1
distilbert,loco_clean,nigerian,nigerian:423,1,1
distilbert,loco_clean,nigerian,nigerian:2743,1,1
distilbert,loco_clean,nigerian,nigerian:1105,1,1
distilbert,loco_clean,nigerian,nigerian:1566,1,1
distilbert,loco_clean,nigerian,nigerian:3160,1,1
distilbert,loco_clean,nigerian,nigerian:874,1,1
distilbert,loco_clean,nigerian,nigerian:1916,1,1
distilbert,loco_clean,nigerian,nigerian:414,1,1
distilbert,loco_clean,nigerian,nigerian:486,1,1
distilbert,loco_clean,nigerian,nigerian:102,1,1
distilbert,loco_clean,nigerian,nigerian:1689,1,1
distilbert,loco_clean,nigerian,nigerian:1330,1,1
distilbert,loco_clean,nigerian,nigerian:1769,1,1
distilbert,loco_clean,nigerian,nigerian:544,1,1
distilbert,loco_clean,nigerian,nigerian:2913,1,1
distilbert,loco_clean,nigerian,nigerian:921,1,1
distilbert,loco_clean,nigerian,nigerian:764,1,1
distilbert,loco_clean,nigerian,nigerian:3035,1,1
distilbert,loco_clean,nigerian,nigerian:1204,1,1
distilbert,loco_clean,enron,enron:6861,1,1
distilbert,loco_clean,enron,enron:9711,1,1
distilbert,loco_clean,enron,enron:8157,1,0
distilbert,loco_clean,enron,enron:5895,1,0
distilbert,loco_clean,enron,enron:7650,1,1
distilbert,loco_clean,enron,enron:7524,1,1
distilbert,loco_clean,enron,enron:8586,1,0
distilbert,loco_clean,enron,enron:9435,1,1
distilbert,loco_clean,enron,enron:9382,1,1
distilbert,loco_clean,enron,enron:5665,1,1
distilbert,loco_clean,enron,enron:8777,1,1
distilbert,loco_clean,enron,enron:9233,1,1
distilbert,loco_clean,enron,enron:6153,1,0
distilbert,loco_clean,enron,enron:6475,1,1
distilbert,loco_clean,enron,enron:6533,1,1
distilbert,loco_clean,enron,enron:9867,1,1
distilbert,loco_clean,enron,enron:5909,1,1
distilbert,loco_clean,enron,enron:9592,1,1
distilbert,loco_clean,enron,enron:5872,1,1
distilbert,loco_clean,enron,enron:7623,1,0
distilbert,loco_clean,enron,enron:7216,1,1
distilbert,loco_clean,enron,enron:6016,1,1
distilbert,loco_clean,enron,enron:9757,1,1
distilbert,loco_clean,enron,enron:5633,1,0
distilbert,loco_clean,enron,enron:7627,1,1
distilbert,loco_clean,enron,enron:8990,1,0
distilbert,loco_clean,enron,enron:6520,1,1
distilbert,loco_clean,enron,enron:9845,1,1
distilbert,loco_clean,enron,enron:5344,1,1
distilbert,loco_clean,enron,enron:5779,1,1
distilbert,loco_clean,enron,enron:8648,1,0
distilbert,loco_clean,enron,enron:8009,1,1
distilbert,loco_clean,enron,enron:5979,1,1
distilbert,loco_clean,enron,enron:7192,1,0
distilbert,loco_clean,enron,enron:6352,1,1
distilbert,loco_clean,enron,enron:7218,1,1
distilbert,loco_clean,enron,enron:8972,1,1
distilbert,loco_clean,enron,enron:8874,1,1
distilbert,loco_clean,enron,enron:7171,1,1
distilbert,loco_clean,enron,enron:6358,1,1
distilbert,loco_clean,enron,enron:5797,1,1
distilbert,loco_clean,enron,enron:7991,1,1
distilbert,loco_clean,enron,enron:5698,1,1
distilbert,loco_clean,enron,enron:6321,1,1
distilbert,loco_clean,enron,enron:5841,1,1
distilbert,loco_clean,enron,enron:9276,1,1
distilbert,loco_clean,enron,enron:8279,1,1
distilbert,loco_clean,enron,enron:6747,1,1
distilbert,loco_clean,enron,enron:5334,1,1
distilbert,loco_clean,enron,enron:8560,1,1
distilbert,loco_clean,enron,enron:5607,1,0
distilbert,loco_clean,enron,enron:5661,1,1
distilbert,loco_clean,enron,enron:8290,1,0
distilbert,loco_clean,enron,enron:7353,1,1
distilbert,loco_clean,enron,enron:8524,1,1
distilbert,loco_clean,enron,enron:9090,1,1
distilbert,loco_clean,enron,enron:7248,1,0
distilbert,loco_clean,enron,enron:6515,1,0
distilbert,loco_clean,enron,enron:8248,1,1
distilbert,loco_clean,enron,enron:7902,1,1
distilbert,loco_clean,enron,enron:9787,1,1
distilbert,loco_clean,enron,enron:9365,1,1
distilbert,loco_clean,enron,enron:6204,1,1
distilbert,loco_clean,enron,enron:6491,1,1
distilbert,loco_clean,enron,enron:7814,1,0
distilbert,loco_clean,enron,enron:6255,1,1
distilbert,loco_clean,enron,enron:7008,1,1
distilbert,loco_clean,enron,enron:5812,1,1
distilbert,loco_clean,enron,enron:6723,1,0
distilbert,loco_clean,enron,enron:7881,1,1
distilbert,loco_clean,enron,enron:7541,1,1
distilbert,loco_clean,enron,enron:9006,1,1
distilbert,loco_clean,enron,enron:8661,1,0
distilbert,loco_clean,enron,enron:9928,1,1
distilbert,loco_clean,enron,enron:6503,1,1
distilbert,loco_clean,enron,enron:9350,1,1
distilbert,loco_clean,enron,enron:5626,1,1
distilbert,loco_clean,enron,enron:7232,1,1
distilbert,loco_clean,enron,enron:7905,1,1
distilbert,loco_clean,enron,enron:6823,1,1
distilbert,loco_clean,enron,enron:5510,1,1
distilbert,loco_clean,enron,enron:7886,1,1
distilbert,loco_clean,enron,enron:9491,1,1
distilbert,loco_clean,enron,enron:6139,1,1
distilbert,loco_clean,enron,enron:6673,1,1
distilbert,loco_clean,enron,enron:8416,1,1
distilbert,loco_clean,enron,enron:7215,1,1
distilbert,loco_clean,enron,enron:6581,1,1
distilbert,loco_clean,enron,enron:6981,1,0
distilbert,loco_clean,enron,enron:7551,1,1
distilbert,loco_clean,enron,enron:9454,1,0
distilbert,loco_clean,enron,enron:8620,1,1
distilbert,loco_clean,enron,enron:6718,1,1
distilbert,loco_clean,enron,enron:8627,1,1
distilbert,loco_clean,enron,enron:9217,1,1
distilbert,loco_clean,enron,enron:8503,1,1
distilbert,loco_clean,enron,enron:8868,1,1
distilbert,loco_clean,enron,enron:7014,1,1
distilbert,loco_clean,enron,enron:6813,1,1
distilbert,loco_clean,enron,enron:7913,1,1
distilbert,loco_clean,enron,enron:9455,1,1
distilbert,loco_clean,enron,enron:6335,1,1
distilbert,loco_clean,enron,enron:9641,1,0
distilbert,loco_clean,enron,enron:9554,1,1
distilbert,loco_clean,enron,enron:9967,1,1
distilbert,loco_clean,enron,enron:5608,1,1
distilbert,loco_clean,enron,enron:9392,1,0
distilbert,loco_clean,enron,enron:6856,1,0
distilbert,loco_clean,enron,enron:6738,1,0
distilbert,loco_clean,enron,enron:5490,1,0
distilbert,loco_clean,enron,enron:7032,1,0
distilbert,loco_clean,enron,enron:8082,1,0
distilbert,loco_clean,enron,enron:8145,1,1
distilbert,loco_clean,enron,enron:5380,1,0
distilbert,loco_clean,enron,enron:9885,1,1
distilbert,loco_clean,enron,enron:8946,1,1
distilbert,loco_clean,enron,enron:6098,1,0
distilbert,loco_clean,enron,enron:9670,1,1
distilbert,loco_clean,enron,enron:7595,1,1
distilbert,loco_clean,enron,enron:6494,1,1
distilbert,loco_clean,enron,enron:6809,1,1
distilbert,loco_clean,enron,enron:6843,1,1
distilbert,loco_clean,enron,enron:9283,1,1
distilbert,loco_clean,enron,enron:7896,1,1
distilbert,loco_clean,enron,enron:6772,1,1
distilbert,loco_clean,enron,enron:5337,1,1
distilbert,loco_clean,enron,enron:9542,1,1
distilbert,loco_clean,enron,enron:9117,1,1
