model,test,loco_clean,loco_raw,removed,inflation,in_corpus
TF-IDF + LogReg,ceas08,0.832,0.833,17,0.001,0.9856
TF-IDF + LogReg,enron,0.911,0.9723,6371,0.0613,0.981
TF-IDF + LogReg,ephishllm,0.6747,0.6747,0,0.0,
TF-IDF + LogReg,ephishllm_de,0.6388,0.6388,0,0.0,
TF-IDF + LogReg,ephishllm_it,0.5904,0.5904,0,0.0,
TF-IDF + LogReg,ephishllm_nolink,0.6351,0.6351,0,0.0,
TF-IDF + LogReg,ephishllm_url,0.6351,0.6351,0,0.0,
TF-IDF + LogReg,kaggle,0.9266,0.9759,11206,0.0493,0.9646
TF-IDF + LogReg,ling,0.8413,0.9623,1460,0.121,0.9302
TF-IDF + LogReg,nazario,0.825,0.825,0,0.0,
TF-IDF + LogReg,nigerian,0.9964,0.9964,87,0.0,
TF-IDF + LogReg,spamassassin,0.8398,0.9474,3198,0.1076,0.9661
TF-IDF + LogReg,trec07,0.8708,0.8708,9,0.0,0.9854
TF-IDF + NB,ceas08,0.8256,0.8255,17,-0.0001,0.9841
TF-IDF + NB,enron,0.8974,0.9545,6371,0.0571,0.9823
TF-IDF + NB,ephishllm,0.6409,0.6409,0,0.0,
TF-IDF + NB,ephishllm_de,0.5949,0.5949,0,0.0,
TF-IDF + NB,ephishllm_it,0.5802,0.5802,0,0.0,
TF-IDF + NB,ephishllm_nolink,0.6307,0.6307,0,0.0,
TF-IDF + NB,ephishllm_url,0.6134,0.6134,0,0.0,
TF-IDF + NB,kaggle,0.9444,0.967,11206,0.0226,0.9356
TF-IDF + NB,ling,0.9359,0.9824,1460,0.0465,0.7733
TF-IDF + NB,nazario,0.7878,0.7878,0,0.0,
TF-IDF + NB,nigerian,0.9945,0.9948,87,0.0003,
TF-IDF + NB,spamassassin,0.8789,0.9359,3198,0.057,0.9282
TF-IDF + NB,trec07,0.8271,0.8276,9,0.0005,0.9726
