model,setting,source,id,label,pred
distilbert,loco_clean,trec07,trec07:5165,1,1
distilbert,loco_clean,trec07,trec07:8154,1,1
distilbert,loco_clean,trec07,trec07:4573,1,1
distilbert,loco_clean,trec07,trec07:7747,1,1
distilbert,loco_clean,trec07,trec07:4979,1,1
distilbert,loco_clean,trec07,trec07:7946,1,0
distilbert,loco_clean,trec07,trec07:6775,1,1
distilbert,loco_clean,trec07,trec07:5421,1,1
distilbert,loco_clean,trec07,trec07:7579,1,0
distilbert,loco_clean,trec07,trec07:5973,1,1
distilbert,loco_clean,trec07,trec07:8126,1,0
distilbert,loco_clean,trec07,trec07:6157,1,1
distilbert,loco_clean,trec07,trec07:5509,1,1
distilbert,loco_clean,trec07,trec07:8833,1,1
distilbert,loco_clean,trec07,trec07:9537,1,1
distilbert,loco_clean,trec07,trec07:9021,1,1
distilbert,loco_clean,trec07,trec07:7926,1,1
distilbert,loco_clean,trec07,trec07:7901,1,1
distilbert,loco_clean,trec07,trec07:8495,1,1
distilbert,loco_clean,trec07,trec07:7819,1,1
distilbert,loco_clean,trec07,trec07:8373,1,1
distilbert,loco_clean,trec07,trec07:9673,1,1
distilbert,loco_clean,trec07,trec07:7109,1,1
distilbert,loco_clean,trec07,trec07:6083,1,1
distilbert,loco_clean,trec07,trec07:6123,1,1
distilbert,loco_clean,trec07,trec07:8730,1,1
distilbert,loco_clean,trec07,trec07:5443,1,1
distilbert,loco_clean,trec07,trec07:5340,1,1
distilbert,loco_clean,trec07,trec07:7071,1,1
distilbert,loco_clean,trec07,trec07:9935,1,1
distilbert,loco_clean,trec07,trec07:5031,1,1
distilbert,loco_clean,trec07,trec07:6458,1,1
distilbert,loco_clean,trec07,trec07:9208,1,1
distilbert,loco_clean,trec07,trec07:7735,1,1
distilbert,loco_clean,trec07,trec07:5455,1,1
distilbert,loco_clean,trec07,trec07:8579,1,1
distilbert,loco_clean,trec07,trec07:8007,1,1
distilbert,loco_clean,trec07,trec07:7181,1,1
distilbert,loco_clean,trec07,trec07:7234,1,1
distilbert,loco_clean,trec07,trec07:7575,1,1
distilbert,loco_clean,trec07,trec07:5615,1,0
distilbert,loco_clean,trec07,trec07:8919,1,1
distilbert,loco_clean,trec07,trec07:8041,1,0
distilbert,loco_clean,trec07,trec07:8645,1,1
distilbert,loco_clean,trec07,trec07:6310,1,1
distilbert,loco_clean,trec07,trec07:6041,1,1
distilbert,loco_clean,trec07,trec07:5940,1,1
