model,setting,source,id,label,pred,answer,cpu_sec_per_1000
phishsense,pretrained,ceas08,ceas08:8116,1,1,truetruetruetruetrue,704.7
phishsense,pretrained,ceas08,ceas08:7953,1,0,falsefalsefalsefalsefalse,704.7
phishsense,pretrained,ceas08,ceas08:5150,1,0,falsefalsefalsefalsefalse,704.7
phishsense,pretrained,ceas08,ceas08:7796,1,1,truetruetruetrue,704.7
phishsense,pretrained,ceas08,ceas08:4894,1,1,truetruetruetruetrue,704.7
phishsense,pretrained,ceas08,ceas08:9838,1,1,truetruetruetruetrue,704.7
phishsense,pretrained,ceas08,ceas08:8788,1,1,truetruetruetruetrue,704.7
phishsense,pretrained,ceas08,ceas08:8667,1,1,truetruetruetrue,704.7
phishsense,pretrained,ceas08,ceas08:9868,1,1,true#truetrue,704.7
phishsense,pretrained,ceas08,ceas08:9735,1,0,falsefalsefalsefalsefalse,704.7
phishsense,pretrained,ceas08,ceas08:6658,1,1,truetruetruetruetrue,704.7
phishsense,pretrained,ceas08,ceas08:7999,1,1,true#truetrue,704.7
phishsense,pretrained,ceas08,ceas08:8805,1,1,truetruetruetruetrue,704.7
phishsense,pretrained,ceas08,ceas08:7742,1,1,true#true,704.7
phishsense,pretrained,ceas08,ceas08:9321,1,1,truetruetruetruetrue,704.7
phishsense,pretrained,ceas08,ceas08:4722,1,1,truetruetruetrue,704.7
phishsense,pretrained,ceas08,ceas08:4879,1,1,truetruetruetruetrue,704.7
phishsense,pretrained,ceas08,ceas08:9306,1,1,true#truetrue,704.7
phishsense,pretrained,ceas08,ceas08:6460,1,0,falsefalsefalsefalsefalse,704.7
phishsense,pretrained,ceas08,ceas08:8713,1,1,truetruetruetruetrue,704.7
phishsense,pretrained,ceas08,ceas08:5031,1,1,truetruetruetrue,704.7
phishsense,pretrained,ceas08,ceas08:6041,1,1,true#truetrue,704.7
phishsense,pretrained,ceas08,ceas08:9595,1,0,falsefalsefalsefalsefalse,704.7
phishsense,pretrained,ceas08,ceas08:9081,1,1,truequestionquestion,704.7
phishsense,pretrained,ceas08,ceas08:7180,1,1,true#truetrue,704.7
