test_set,threshold,recall,precision,f1,false_alarm,mean_phishing_prob
spamassassin,0.5,0.753,0.966,0.846,0.027,0.379
spamassassin,0.37,0.787,0.952,0.861,0.04,0.379
spamassassin,0.2,0.887,0.93,0.908,0.067,0.379
nazario,0.5,0.513,1.0,0.678,0.0,0.512
nazario,0.37,0.593,1.0,0.745,0.0,0.512
nazario,0.2,0.753,1.0,0.859,0.0,0.512
ephishllm,0.5,0.087,0.52,0.149,0.08,0.167
ephishllm,0.37,0.113,0.415,0.178,0.16,0.167
ephishllm,0.2,0.22,0.402,0.284,0.327,0.167
ephishllm_nolink,0.5,0.12,0.6,0.2,0.08,0.182
ephishllm_nolink,0.37,0.153,0.489,0.234,0.16,0.182
ephishllm_nolink,0.2,0.273,0.451,0.34,0.333,0.182
ephishllm_it,0.5,0.993,0.5,0.665,0.993,0.941
ephishllm_it,0.37,0.993,0.5,0.665,0.993,0.941
ephishllm_it,0.2,1.0,0.5,0.667,1.0,0.941
