model,setting,source,id,label,pred
distilbert,loco_clean,nigerian,nigerian:2159,1,1
distilbert,loco_clean,nigerian,nigerian:1962,1,1
distilbert,loco_clean,nigerian,nigerian:240,1,1
distilbert,loco_clean,nigerian,nigerian:2554,1,1
distilbert,loco_clean,nigerian,nigerian:1626,1,1
distilbert,loco_clean,nigerian,nigerian:3070,1,0
distilbert,loco_clean,nigerian,nigerian:527,1,1
distilbert,loco_clean,nigerian,nigerian:2354,1,1
distilbert,loco_clean,nigerian,nigerian:3305,1,1
distilbert,loco_clean,nigerian,nigerian:1929,1,1
distilbert,loco_clean,nigerian,nigerian:2252,1,1
distilbert,loco_clean,nigerian,nigerian:321,1,1
distilbert,loco_clean,nigerian,nigerian:1146,1,1
distilbert,loco_clean,nigerian,nigerian:829,1,1
distilbert,loco_clean,nigerian,nigerian:2415,1,1
distilbert,loco_clean,nigerian,nigerian:2902,1,1
distilbert,loco_clean,nigerian,nigerian:354,1,1
distilbert,loco_clean,nigerian,nigerian:809,1,1
distilbert,loco_clean,nigerian,nigerian:1242,1,1
distilbert,loco_clean,nigerian,nigerian:1614,1,1
distilbert,loco_clean,nigerian,nigerian:239,1,1
distilbert,loco_clean,nigerian,nigerian:1362,1,1
distilbert,loco_clean,nigerian,nigerian:964,1,1
distilbert,loco_clean,nigerian,nigerian:1414,1,1
distilbert,loco_clean,nigerian,nigerian:463,1,1
distilbert,loco_clean,nigerian,nigerian:1483,1,1
distilbert,loco_clean,nigerian,nigerian:203,1,1
distilbert,loco_clean,nigerian,nigerian:194,1,1
distilbert,loco_clean,nigerian,nigerian:978,1,1
distilbert,loco_clean,nigerian,nigerian:2516,1,1
distilbert,loco_clean,nigerian,nigerian:314,1,1
distilbert,loco_clean,nigerian,nigerian:790,1,1
distilbert,loco_clean,nigerian,nigerian:139,1,1
distilbert,loco_clean,nigerian,nigerian:2873,1,1
distilbert,loco_clean,nigerian,nigerian:602,1,1
distilbert,loco_clean,nigerian,nigerian:291,1,1
distilbert,loco_clean,nigerian,nigerian:30,1,1
distilbert,loco_clean,nigerian,nigerian:2314,1,1
distilbert,loco_clean,nigerian,nigerian:3136,1,1
distilbert,loco_clean,nigerian,nigerian:611,1,1
distilbert,loco_clean,nigerian,nigerian:1609,1,1
distilbert,loco_clean,nigerian,nigerian:1057,1,1
distilbert,loco_clean,nigerian,nigerian:2943,1,1
distilbert,loco_clean,nigerian,nigerian:761,1,0
distilbert,loco_clean,nigerian,nigerian:1181,1,1
distilbert,loco_clean,nigerian,nigerian:1641,1,1
distilbert,loco_clean,nigerian,nigerian:1723,1,1
distilbert,loco_clean,nigerian,nigerian:322,1,1
distilbert,loco_clean,nigerian,nigerian:1509,1,1
distilbert,loco_clean,nigerian,nigerian:2655,1,1
distilbert,loco_clean,nigerian,nigerian:134,1,1
distilbert,loco_clean,nigerian,nigerian:2634,1,1
distilbert,loco_clean,nigerian,nigerian:1576,1,1
distilbert,loco_clean,nigerian,nigerian:969,1,1
distilbert,loco_clean,nigerian,nigerian:32,1,1
distilbert,loco_clean,nigerian,nigerian:501,1,1
distilbert,loco_clean,nigerian,nigerian:2639,1,1
distilbert,loco_clean,nigerian,nigerian:2761,1,1
distilbert,loco_clean,nigerian,nigerian:2909,1,1
distilbert,loco_clean,nigerian,nigerian:70,1,1
distilbert,loco_clean,nigerian,nigerian:2474,1,1
distilbert,loco_clean,nigerian,nigerian:1094,1,1
distilbert,loco_clean,nigerian,nigerian:3081,1,1
distilbert,loco_clean,nigerian,nigerian:2176,1,1
distilbert,loco_clean,nigerian,nigerian:3075,1,1
distilbert,loco_clean,nigerian,nigerian:1041,1,1
distilbert,loco_clean,nigerian,nigerian:2183,1,1
distilbert,loco_clean,nigerian,nigerian:3244,1,1
distilbert,loco_clean,nigerian,nigerian:1927,1,1
distilbert,loco_clean,nigerian,nigerian:838,1,1
distilbert,loco_clean,nigerian,nigerian:2118,1,1
distilbert,loco_clean,nigerian,nigerian:387,1,1
distilbert,loco_clean,nigerian,nigerian:1067,1,1
distilbert,loco_clean,nigerian,nigerian:52,1,1
distilbert,loco_clean,nigerian,nigerian:1575,1,0
distilbert,loco_clean,nigerian,nigerian:2673,1,1
distilbert,loco_clean,nigerian,nigerian:2553,1,1
distilbert,loco_clean,nigerian,nigerian:17,1,1
distilbert,loco_clean,nigerian,nigerian:1501,1,1
distilbert,loco_clean,nigerian,nigerian:1703,1,1
distilbert,loco_clean,nigerian,nigerian:325,1,1
distilbert,loco_clean,nigerian,nigerian:2922,1,0
distilbert,loco_clean,nigerian,nigerian:2115,1,1
distilbert,loco_clean,nigerian,nigerian:718,1,1
distilbert,loco_clean,nigerian,nigerian:2103,1,0
distilbert,loco_clean,nigerian,nigerian:478,1,1
distilbert,loco_clean,nigerian,nigerian:817,1,1
distilbert,loco_clean,nigerian,nigerian:1441,1,1
distilbert,loco_clean,nigerian,nigerian:1632,1,1
distilbert,loco_clean,nigerian,nigerian:1783,1,1
distilbert,loco_clean,nigerian,nigerian:2819,1,0
distilbert,loco_clean,nigerian,nigerian:479,1,1
distilbert,loco_clean,nigerian,nigerian:1395,1,1
distilbert,loco_clean,nigerian,nigerian:2030,1,1
distilbert,loco_clean,nigerian,nigerian:170,1,1
distilbert,loco_clean,nigerian,nigerian:80,1,1
distilbert,loco_clean,nigerian,nigerian:1255,1,1
distilbert,loco_clean,nigerian,nigerian:439,1,1
distilbert,loco_clean,nigerian,nigerian:93,1,1
distilbert,loco_clean,nigerian,nigerian:449,1,1
distilbert,loco_clean,nigerian,nigerian:2727,1,1
distilbert,loco_clean,nigerian,nigerian:3225,1,1
distilbert,loco_clean,nigerian,nigerian:937,1,1
distilbert,loco_clean,nigerian,nigerian:1793,1,1
distilbert,loco_clean,nigerian,nigerian:1457,1,1
distilbert,loco_clean,nigerian,nigerian:599,1,1
distilbert,loco_clean,nigerian,nigerian:229,1,1
distilbert,loco_clean,nigerian,nigerian:1839,1,1
distilbert,loco_clean,nigerian,nigerian:2319,1,1
distilbert,loco_clean,nigerian,nigerian:2716,1,1
distilbert,loco_clean,nigerian,nigerian:3086,1,1
distilbert,loco_clean,nigerian,nigerian:1370,1,1
distilbert,loco_clean,nigerian,nigerian:1651,1,1
distilbert,loco_clean,nigerian,nigerian:679,1,1
distilbert,loco_clean,nigerian,nigerian:2376,1,1
distilbert,loco_clean,nigerian,nigerian:2390,1,1
distilbert,loco_clean,nigerian,nigerian:1124,1,0
distilbert,loco_clean,nigerian,nigerian:1159,1,1
distilbert,loco_clean,nigerian,nigerian:3151,1,1
distilbert,loco_clean,nigerian,nigerian:864,1,1
distilbert,loco_clean,nigerian,nigerian:2308,1,1
distilbert,loco_clean,nigerian,nigerian:2304,1,1
distilbert,loco_clean,nigerian,nigerian:295,1,1
distilbert,loco_clean,nigerian,nigerian:2641,1,1
distilbert,loco_clean,nigerian,nigerian:1003,1,1
distilbert,loco_clean,nigerian,nigerian:789,1,1
distilbert,loco_clean,nigerian,nigerian:2223,1,1
distilbert,loco_clean,nigerian,nigerian:1226,1,1
distilbert,loco_clean,nigerian,nigerian:2971,1,1
distilbert,loco_clean,nigerian,nigerian:2628,1,1
distilbert,loco_clean,nigerian,nigerian:183,1,1
distilbert,loco_clean,nigerian,nigerian:423,1,1
distilbert,loco_clean,nigerian,nigerian:2743,1,1
distilbert,loco_clean,nigerian,nigerian:1105,1,1
distilbert,loco_clean,nigerian,nigerian:1566,1,1
distilbert,loco_clean,nigerian,nigerian:3160,1,1
distilbert,loco_clean,nigerian,nigerian:874,1,1
distilbert,loco_clean,nigerian,nigerian:1916,1,1
distilbert,loco_clean,nigerian,nigerian:414,1,1
distilbert,loco_clean,nigerian,nigerian:486,1,1
distilbert,loco_clean,nigerian,nigerian:102,1,1
distilbert,loco_clean,nigerian,nigerian:1689,1,1
distilbert,loco_clean,nigerian,nigerian:1330,1,1
distilbert,loco_clean,nigerian,nigerian:1769,1,1
distilbert,loco_clean,nigerian,nigerian:544,1,1
distilbert,loco_clean,nigerian,nigerian:2913,1,1
distilbert,loco_clean,nigerian,nigerian:921,1,1
distilbert,loco_clean,nigerian,nigerian:764,1,1
distilbert,loco_clean,nigerian,nigerian:3035,1,1
distilbert,loco_clean,nigerian,nigerian:1204,1,1
