id,source,annotator,kind,answer,cost_usd
spamassassin:4742,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00011075
spamassassin:5215,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00011475
spamassassin:5738,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.00011475
spamassassin:4496,spamassassin,google/gemini-3.1-flash-lite,spam,spam,9.75e-05
spamassassin:4625,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00012275
spamassassin:5468,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,6.425e-05
spamassassin:5352,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.000132
spamassassin:4114,spamassassin,google/gemini-3.1-flash-lite,spam,spam,3.925e-05
spamassassin:4693,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.000158
spamassassin:5201,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.000252
spamassassin:5497,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00012425
spamassassin:5378,spamassassin,google/gemini-3.1-flash-lite,spam,spam,8.2e-05
spamassassin:4430,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00010225
spamassassin:5746,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.000109
spamassassin:4692,spamassassin,google/gemini-3.1-flash-lite,spam,spam,9.25e-05
spamassassin:4394,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.000183
spamassassin:5420,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.0001375
spamassassin:5471,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.000243
spamassassin:5118,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00011275
spamassassin:5301,spamassassin,google/gemini-3.1-flash-lite,spam,spam,0.00012525
spamassassin:5185,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,0.00012275
spamassassin:5721,spamassassin,google/gemini-3.1-flash-lite,phishing,ph,9.75e-05
spamassassin:5037,spamassassin,google/gemini-3.1-flash-lite,spam,spam,8.425e-05
