,spamassassin,ceas08,trec07,ling,enron,kaggle,nazario,nigerian,ephishllm,ephishllm_it,ephishllm_de
spamassassin,0.0,0.0,0.0,0.1,2.29,29.83,0.0,0.48,0.0,0.0,0.0
ceas08,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trec07,0.0,0.06,0.0,0.0,0.03,0.01,0.0,1.54,0.0,0.0,0.0
ling,0.09,0.0,0.0,0.0,0.03,14.76,0.0,0.0,0.0,0.0,0.0
enron,14.73,0.0,0.02,0.14,0.0,54.74,0.0,4.52,0.0,0.0,0.0
kaggle,86.71,0.0,0.0,90.97,35.92,0.0,0.0,2.14,0.0,0.0,0.0
nazario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nigerian,0.21,0.0,0.03,0.0,0.42,0.32,0.0,0.0,0.0,0.0,0.0
ephishllm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ephishllm_it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ephishllm_de,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
