model,setting,test,train_size,removed,accuracy,precision,recall,f1,cpu_sec_per_1000
logreg,in_corpus_split,spamassassin,4642,0,0.9802,0.9762,0.9563,0.9661,
logreg,in_corpus,spamassassin,5503,0,0.97,0.9862,0.9533,0.9695,
logreg,in_corpus_split,ceas08,8000,0,0.984,0.9865,0.9848,0.9856,
logreg,in_corpus,ceas08,9700,0,0.99,0.9868,0.9933,0.99,
logreg,in_corpus_split,trec07,8000,0,0.984,0.9801,0.9908,0.9854,
logreg,in_corpus,trec07,9700,0,0.9967,0.9934,1.0,0.9967,
logreg,in_corpus_split,ling,2286,0,0.979,1.0,0.8696,0.9302,
logreg,in_corpus,ling,2558,0,0.9033,1.0,0.8067,0.893,
logreg,in_corpus_split,enron,8000,0,0.982,0.9708,0.9915,0.981,
logreg,in_corpus,enron,9700,0,0.9867,0.9803,0.9933,0.9868,
logreg,in_corpus_split,kaggle,8000,0,0.974,0.9793,0.9504,0.9646,
logreg,in_corpus,kaggle,9700,0,0.97,0.993,0.9467,0.9693,
logreg,loco_raw,spamassassin,42858,0,0.9683,0.9278,0.9679,0.9474,0.259
logreg,loco_clean,spamassassin,39660,3198,0.8916,0.7445,0.9632,0.8398,0.266
logreg,loco_random,spamassassin,39660,3198,0.9681,0.9268,0.9685,0.9472,0.338
logreg,loco_raw,ceas08,38661,0,0.8301,0.9211,0.7603,0.833,0.238
logreg,loco_clean,ceas08,38644,17,0.8292,0.9209,0.7587,0.832,0.235
logreg,loco_random,ceas08,38644,17,0.8299,0.9209,0.7601,0.8328,0.268
logreg,loco_raw,trec07,38661,0,0.8649,0.9111,0.8339,0.8708,0.272
logreg,loco_clean,trec07,38652,9,0.8649,0.9111,0.8339,0.8708,0.22
logreg,loco_random,trec07,38652,9,0.8651,0.9112,0.8342,0.871,0.215
logreg,loco_raw,ling,45803,0,0.9878,0.949,0.976,0.9623,0.418
logreg,loco_clean,ling,44343,1460,0.9419,0.7483,0.9607,0.8413,0.397
logreg,loco_random,ling,44343,1460,0.9871,0.945,0.976,0.9603,0.412
logreg,loco_raw,enron,38661,0,0.9739,0.9681,0.9765,0.9723,0.194
logreg,loco_clean,enron,32290,6371,0.9153,0.8982,0.9241,0.911,0.189
logreg,loco_random,enron,32290,6371,0.9719,0.966,0.9744,0.9702,0.191
logreg,loco_raw,kaggle,38661,0,0.9819,0.9701,0.9818,0.9759,0.239
logreg,loco_clean,kaggle,27455,11206,0.9427,0.8878,0.9689,0.9266,0.23
logreg,loco_random,kaggle,27455,11206,0.9788,0.9656,0.978,0.9718,0.239
logreg,loco_raw,nazario,48661,0,0.7021,1.0,0.7021,0.825,0.188
logreg,loco_raw,nigerian,48661,0,0.9928,1.0,0.9928,0.9964,0.383
logreg,loco_raw,ephishllm,48661,0,0.667,0.6874,0.6624,0.6747,0.087
logreg,loco_raw,ephishllm_it,48661,0,0.4191,0.4189,1.0,0.5904,0.097
logreg,loco_raw,ephishllm_de,48661,0,0.4849,0.4707,0.9935,0.6388,0.108
logreg,loco_raw,ephishllm_nolink,48661,0,0.64,0.6438,0.6267,0.6351,0.093
logreg,loco_raw,ephishllm_url,48661,0,0.64,0.6438,0.6267,0.6351,0.12
logreg,loco_clean,nazario,48661,0,0.7021,1.0,0.7021,0.825,0.191
logreg,loco_clean,nigerian,48574,87,0.9928,1.0,0.9928,0.9964,0.38
logreg,loco_clean,ephishllm,48661,0,0.667,0.6874,0.6624,0.6747,0.088
logreg,loco_clean,ephishllm_it,48661,0,0.4191,0.4189,1.0,0.5904,0.096
logreg,loco_clean,ephishllm_de,48661,0,0.4849,0.4707,0.9935,0.6388,0.106
logreg,loco_clean,ephishllm_nolink,48661,0,0.64,0.6438,0.6267,0.6351,0.162
logreg,loco_clean,ephishllm_url,48661,0,0.64,0.6438,0.6267,0.6351,0.212
logreg,loco_random,nigerian,48574,87,0.9928,1.0,0.9928,0.9964,0.378
naive_bayes,in_corpus_split,spamassassin,4642,0,0.9595,0.9744,0.8863,0.9282,
naive_bayes,in_corpus,spamassassin,5503,0,0.95,0.9927,0.9067,0.9477,
naive_bayes,in_corpus_split,ceas08,8000,0,0.9825,0.9982,0.9704,0.9841,
naive_bayes,in_corpus,ceas08,9700,0,0.9933,0.9933,0.9933,0.9933,
naive_bayes,in_corpus_split,trec07,8000,0,0.9705,0.9868,0.9588,0.9726,
naive_bayes,in_corpus,trec07,9700,0,0.98,0.9932,0.9667,0.9797,
naive_bayes,in_corpus_split,ling,2286,0,0.9406,1.0,0.6304,0.7733,
naive_bayes,in_corpus,ling,2558,0,0.6433,1.0,0.2867,0.4456,
naive_bayes,in_corpus_split,enron,8000,0,0.9835,0.9902,0.9744,0.9823,
naive_bayes,in_corpus,enron,9700,0,0.9833,0.9932,0.9733,0.9832,
naive_bayes,in_corpus_split,kaggle,8000,0,0.9545,0.991,0.8861,0.9356,
naive_bayes,in_corpus,kaggle,9700,0,0.9567,1.0,0.9133,0.9547,
naive_bayes,loco_raw,spamassassin,42858,0,0.9623,0.9378,0.934,0.9359,0.278
naive_bayes,loco_clean,spamassassin,39660,3198,0.9242,0.8313,0.9322,0.8789,0.251
naive_bayes,loco_random,spamassassin,39660,3198,0.9619,0.9388,0.9317,0.9352,0.259
naive_bayes,loco_raw,ceas08,38661,0,0.8252,0.9307,0.7417,0.8255,0.186
naive_bayes,loco_clean,ceas08,38644,17,0.8253,0.9307,0.7418,0.8256,0.186
naive_bayes,loco_random,ceas08,38644,17,0.8255,0.9309,0.742,0.8258,0.182
naive_bayes,loco_raw,trec07,38661,0,0.824,0.8898,0.7734,0.8276,0.208
naive_bayes,loco_clean,trec07,38652,9,0.8236,0.8897,0.7727,0.8271,0.206
naive_bayes,loco_random,trec07,38652,9,0.8229,0.8886,0.7725,0.8265,0.205
naive_bayes,loco_raw,ling,45803,0,0.9944,0.9889,0.976,0.9824,0.409
