model,setting,source,id,label,pred,cpu_sec_per_1000
bert,pretrained,enron,enron:6861,1,1,482.8
bert,pretrained,enron,enron:9711,1,1,482.8
bert,pretrained,enron,enron:8157,1,1,482.8
bert,pretrained,enron,enron:5895,1,1,482.8
bert,pretrained,enron,enron:7650,1,1,482.8
bert,pretrained,enron,enron:7524,1,1,482.8
bert,pretrained,enron,enron:8586,1,0,482.8
bert,pretrained,enron,enron:9435,1,1,482.8
bert,pretrained,enron,enron:9382,1,1,482.8
bert,pretrained,enron,enron:5665,1,1,482.8
bert,pretrained,enron,enron:8777,1,1,482.8
bert,pretrained,enron,enron:9233,1,1,482.8
bert,pretrained,enron,enron:6153,1,1,482.8
bert,pretrained,enron,enron:6475,1,1,482.8
bert,pretrained,enron,enron:6533,1,1,482.8
bert,pretrained,enron,enron:9867,1,1,482.8
bert,pretrained,enron,enron:5909,1,1,482.8
bert,pretrained,enron,enron:9592,1,1,482.8
bert,pretrained,enron,enron:5872,1,1,482.8
bert,pretrained,enron,enron:7623,1,1,482.8
bert,pretrained,enron,enron:7216,1,1,482.8
bert,pretrained,enron,enron:6016,1,1,482.8
bert,pretrained,enron,enron:9757,1,1,482.8
bert,pretrained,enron,enron:5633,1,1,482.8
bert,pretrained,enron,enron:7627,1,1,482.8
bert,pretrained,enron,enron:8990,1,0,482.8
bert,pretrained,enron,enron:6520,1,1,482.8
bert,pretrained,enron,enron:9845,1,1,482.8
bert,pretrained,enron,enron:5344,1,1,482.8
bert,pretrained,enron,enron:5779,1,1,482.8
bert,pretrained,enron,enron:8648,1,1,482.8
bert,pretrained,enron,enron:8009,1,1,482.8
bert,pretrained,enron,enron:5979,1,1,482.8
bert,pretrained,enron,enron:7192,1,1,482.8
bert,pretrained,enron,enron:6352,1,1,482.8
bert,pretrained,enron,enron:7218,1,1,482.8
bert,pretrained,enron,enron:8972,1,1,482.8
bert,pretrained,enron,enron:8874,1,1,482.8
bert,pretrained,enron,enron:7171,1,1,482.8
bert,pretrained,enron,enron:6358,1,1,482.8
bert,pretrained,enron,enron:5797,1,1,482.8
bert,pretrained,enron,enron:7991,1,1,482.8
bert,pretrained,enron,enron:5698,1,1,482.8
bert,pretrained,enron,enron:6321,1,1,482.8
bert,pretrained,enron,enron:5841,1,1,482.8
bert,pretrained,enron,enron:9276,1,1,482.8
bert,pretrained,enron,enron:8279,1,1,482.8
bert,pretrained,enron,enron:6747,1,1,482.8
bert,pretrained,enron,enron:5334,1,1,482.8
bert,pretrained,enron,enron:8560,1,1,482.8
bert,pretrained,enron,enron:5607,1,0,482.8
bert,pretrained,enron,enron:5661,1,1,482.8
bert,pretrained,enron,enron:8290,1,1,482.8
bert,pretrained,enron,enron:7353,1,1,482.8
bert,pretrained,enron,enron:8524,1,1,482.8
bert,pretrained,enron,enron:9090,1,1,482.8
bert,pretrained,enron,enron:7248,1,1,482.8
bert,pretrained,enron,enron:6515,1,1,482.8
bert,pretrained,enron,enron:8248,1,1,482.8
bert,pretrained,enron,enron:7902,1,1,482.8
bert,pretrained,enron,enron:9787,1,1,482.8
bert,pretrained,enron,enron:9365,1,1,482.8
bert,pretrained,enron,enron:6204,1,1,482.8
bert,pretrained,enron,enron:6491,1,1,482.8
bert,pretrained,enron,enron:7814,1,1,482.8
bert,pretrained,enron,enron:6255,1,1,482.8
bert,pretrained,enron,enron:7008,1,1,482.8
bert,pretrained,enron,enron:5812,1,1,482.8
bert,pretrained,enron,enron:6723,1,1,482.8
bert,pretrained,enron,enron:7881,1,1,482.8
bert,pretrained,enron,enron:7541,1,1,482.8
bert,pretrained,enron,enron:9006,1,1,482.8
bert,pretrained,enron,enron:8661,1,1,482.8
bert,pretrained,enron,enron:9928,1,1,482.8
bert,pretrained,enron,enron:6503,1,1,482.8
bert,pretrained,enron,enron:9350,1,1,482.8
bert,pretrained,enron,enron:5626,1,1,482.8
bert,pretrained,enron,enron:7232,1,1,482.8
bert,pretrained,enron,enron:7905,1,1,482.8
bert,pretrained,enron,enron:6823,1,1,482.8
bert,pretrained,enron,enron:5510,1,1,482.8
bert,pretrained,enron,enron:7886,1,1,482.8
bert,pretrained,enron,enron:9491,1,1,482.8
bert,pretrained,enron,enron:6139,1,1,482.8
bert,pretrained,enron,enron:6673,1,1,482.8
bert,pretrained,enron,enron:8416,1,1,482.8
bert,pretrained,enron,enron:7215,1,1,482.8
bert,pretrained,enron,enron:6581,1,1,482.8
bert,pretrained,enron,enron:6981,1,1,482.8
bert,pretrained,enron,enron:7551,1,1,482.8
bert,pretrained,enron,enron:9454,1,1,482.8
bert,pretrained,enron,enron:8620,1,1,482.8
bert,pretrained,enron,enron:6718,1,1,482.8
bert,pretrained,enron,enron:8627,1,1,482.8
bert,pretrained,enron,enron:9217,1,1,482.8
bert,pretrained,enron,enron:8503,1,1,482.8
bert,pretrained,enron,enron:8868,1,1,482.8
bert,pretrained,enron,enron:7014,1,1,482.8
bert,pretrained,enron,enron:6813,1,1,482.8
bert,pretrained,enron,enron:7913,1,1,482.8
bert,pretrained,enron,enron:9455,1,1,482.8
bert,pretrained,enron,enron:6335,1,1,482.8
bert,pretrained,enron,enron:9641,1,1,482.8
bert,pretrained,enron,enron:9554,1,1,482.8
bert,pretrained,enron,enron:9967,1,1,482.8
bert,pretrained,enron,enron:5608,1,1,482.8
bert,pretrained,enron,enron:9392,1,1,482.8
bert,pretrained,enron,enron:6856,1,1,482.8
bert,pretrained,enron,enron:6738,1,1,482.8
bert,pretrained,enron,enron:5490,1,1,482.8
bert,pretrained,enron,enron:7032,1,1,482.8
bert,pretrained,enron,enron:8082,1,1,482.8
bert,pretrained,enron,enron:8145,1,1,482.8
