,spamassassin,ceas08,trec07,ling,enron,kaggle,nazario,nigerian,ephishllm,ephishllm_it,ephishllm_de
spamassassin,0.0,0.0,0.0,0.0,0.41,21.99,0.0,0.0,0.0,0.0,0.0
ceas08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trec07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
ling,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0
enron,2.1,0.0,0.0,0.0,0.0,1.07,0.0,0.18,0.0,0.0,0.0
kaggle,66.34,0.0,0.0,2.17,0.63,0.0,0.0,0.0,0.0,0.0,0.0
nazario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nigerian,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
ephishllm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ephishllm_it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ephishllm_de,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
