level,contains,source,emails_of_source_found,source_size,pct_of_source
exact_norm,kaggle,spamassassin,3850,5803,66.34
exact_norm,spamassassin,kaggle,3849,17505,21.99
exact_norm,enron,kaggle,188,17505,1.07
exact_norm,kaggle,enron,187,29604,0.63
exact_norm,enron,spamassassin,122,5803,2.1
exact_norm,spamassassin,enron,120,29604,0.41
exact_norm,kaggle,ling,62,2858,2.17
exact_norm,ling,kaggle,62,17505,0.35
exact_norm,nigerian,enron,6,29604,0.02
exact_norm,enron,nigerian,6,3316,0.18
exact_norm,nigerian,trec07,2,53638,0.0
exact_norm,trec07,nigerian,2,3316,0.06
exact_norm,enron,trec07,1,53638,0.0
exact_norm,trec07,enron,1,29604,0.0
exact_raw,kaggle,ling,61,2858,2.13
exact_raw,ling,kaggle,61,17505,0.35
exact_raw,kaggle,enron,3,29604,0.01
exact_raw,enron,kaggle,3,17505,0.02
exact_raw,kaggle,spamassassin,2,5803,0.03
exact_raw,nigerian,trec07,2,53638,0.0
exact_raw,spamassassin,kaggle,2,17505,0.01
exact_raw,trec07,nigerian,2,3316,0.06
near,kaggle,enron,10229,29604,34.55
near,enron,kaggle,9212,17505,52.62
near,spamassassin,kaggle,5182,17505,29.6
near,kaggle,spamassassin,5009,5803,86.32
near,kaggle,ling,2577,2858,90.17
near,ling,kaggle,2560,17505,14.62
near,enron,spamassassin,793,5803,13.67
near,spamassassin,enron,640,29604,2.16
near,enron,nigerian,141,3316,4.25
near,nigerian,enron,111,29604,0.37
near,ceas08,trec07,81,53638,0.15
near,kaggle,nigerian,69,3316,2.08
near,nigerian,kaggle,51,17505,0.29
near,trec07,nigerian,42,3316,1.27
near,trec07,ceas08,28,39091,0.07
near,spamassassin,nigerian,14,3316,0.42
near,nigerian,trec07,13,53638,0.02
near,nigerian,spamassassin,12,5803,0.21
near,ling,enron,7,29604,0.02
near,trec07,enron,6,29604,0.02
near,ling,spamassassin,4,5803,0.07
near,enron,trec07,3,53638,0.01
near,enron,ling,3,2858,0.1
near,kaggle,trec07,2,53638,0.0
near,spamassassin,ling,2,2858,0.07
near,trec07,kaggle,2,17505,0.01
