level,contains,source,emails_of_source_found,source_size,pct_of_source
exact_norm,kaggle,spamassassin,3850,5803,66.34
exact_norm,spamassassin,kaggle,3849,17505,21.99
exact_norm,enron,kaggle,188,17505,1.07
exact_norm,kaggle,enron,187,29604,0.63
exact_norm,enron,spamassassin,122,5803,2.1
exact_norm,spamassassin,enron,120,29604,0.41
exact_norm,kaggle,ling,62,2858,2.17
exact_norm,ling,kaggle,62,17505,0.35
exact_norm,nigerian,enron,6,29604,0.02
exact_norm,enron,nigerian,6,3316,0.18
exact_norm,nigerian,trec07,2,53638,0.0
exact_norm,trec07,nigerian,2,3316,0.06
exact_norm,enron,trec07,1,53638,0.0
exact_norm,trec07,enron,1,29604,0.0
exact_raw,kaggle,ling,61,2858,2.13
exact_raw,ling,kaggle,61,17505,0.35
exact_raw,kaggle,enron,3,29604,0.01
exact_raw,enron,kaggle,3,17505,0.02
exact_raw,kaggle,spamassassin,2,5803,0.03
exact_raw,nigerian,trec07,2,53638,0.0
exact_raw,spamassassin,kaggle,2,17505,0.01
exact_raw,trec07,nigerian,2,3316,0.06
near,kaggle,enron,10722,29604,36.22
near,enron,kaggle,9585,17505,54.76
near,spamassassin,kaggle,5251,17505,30.0
near,kaggle,spamassassin,5056,5803,87.13
near,kaggle,ling,2602,2858,91.04
near,ling,kaggle,2583,17505,14.76
near,enron,spamassassin,868,5803,14.96
near,spamassassin,enron,686,29604,2.32
near,enron,nigerian,154,3316,4.64
near,nigerian,enron,126,29604,0.43
near,ceas08,trec07,114,53638,0.21
near,kaggle,nigerian,70,3316,2.11
near,nigerian,kaggle,57,17505,0.33
near,trec07,nigerian,50,3316,1.51
near,trec07,ceas08,25,39091,0.06
near,nigerian,trec07,16,53638,0.03
near,spamassassin,nigerian,14,3316,0.42
near,nigerian,spamassassin,11,5803,0.19
near,enron,trec07,9,53638,0.02
near,trec07,enron,9,29604,0.03
near,ling,enron,8,29604,0.03
near,ling,spamassassin,5,5803,0.09
near,enron,ling,4,2858,0.14
near,spamassassin,ling,3,2858,0.1
near,kaggle,trec07,2,53638,0.0
near,trec07,kaggle,2,17505,0.01
