row,source,n_positives,phishing_pct,spam_pct,unclear_pct,model,setting,n_phishing,n_spam,recall_phishing,recall_spam,gap,n,agreement,kappa
composition,spamassassin,150.0,18.7,81.3,0.0,,,,,,,,,,
composition,ceas08,150.0,14.7,85.3,0.0,,,,,,,,,,
composition,trec07,150.0,24.7,75.3,0.0,,,,,,,,,,
composition,ling,150.0,19.3,79.3,1.3,,,,,,,,,,
composition,enron,150.0,21.3,78.7,0.0,,,,,,,,,,
composition,kaggle,150.0,25.3,74.7,0.0,,,,,,,,,,
recall_by_kind,,,,,,DistilBERT,loco_clean,186.0,712.0,0.892,0.847,0.046,,,
recall_by_kind,,,,,,GPT-4o-mini,llm_zero,186.0,712.0,0.995,0.933,0.062,,,
recall_by_kind,,,,,,Gemini-3.1-Flash-Lite,llm_zero,186.0,712.0,0.995,0.926,0.069,,,
recall_by_kind,,,,,,Gemma-3-12B,llm_zero,186.0,712.0,0.995,0.972,0.023,,,
recall_by_kind,,,,,,Llama-3.1-8B,llm_zero,186.0,712.0,0.984,0.94,0.044,,,
recall_by_kind,,,,,,Llama-3.2-1B,llm_zero,186.0,712.0,0.801,0.728,0.074,,,
recall_by_kind,,,,,,Llama-3.2-3B,llm_zero,186.0,712.0,0.892,0.747,0.145,,,
recall_by_kind,,,,,,Llama-3.2-3B few-shot,llm_few,186.0,712.0,0.919,0.824,0.095,,,
recall_by_kind,,,,,,Llama-3.2-3B few-shot AI,llm_few_ai,186.0,712.0,0.973,0.889,0.084,,,
recall_by_kind,,,,,,Phi-4-14B,llm_zero,186.0,712.0,0.742,0.732,0.01,,,
recall_by_kind,,,,,,Phi-4-14B relaxed,llm_long,28.0,122.0,0.929,0.918,0.011,,,
recall_by_kind,,,,,,Qwen-2.5-7B,llm_zero,186.0,712.0,0.968,0.874,0.094,,,
recall_by_kind,,,,,,Qwen-2.5-7B few-shot,llm_few,186.0,712.0,0.978,0.91,0.068,,,
recall_by_kind,,,,,,Qwen-2.5-7B few-shot AI,llm_few_ai,186.0,712.0,0.978,0.952,0.026,,,
recall_by_kind,,,,,,TF-IDF + LogReg,loco_clean,186.0,712.0,0.941,0.889,0.052,,,
recall_by_kind,,,,,,TF-IDF + NB,loco_clean,186.0,712.0,0.919,0.854,0.065,,,
agreement,,,,,,,,,,,,,300.0,0.86,0.351
