file,n,changed,unparsed_before,unparsed_after
google__gemini-3.1-flash-lite__zero.csv,3000.0,0,2.0,2.0
google__gemma-3-12b-it__zero.csv,2400.0,0,1.0,1.0
meta-llama__llama-3.1-8b-instruct__zero.csv,3000.0,0,19.0,19.0
meta-llama__llama-3.2-1b-instruct__zero.csv,2400.0,0,24.0,24.0
meta-llama__llama-3.2-3b-instruct__few.csv,2400.0,0,0.0,0.0
meta-llama__llama-3.2-3b-instruct__few_ai.csv,2100.0,0,27.0,27.0
meta-llama__llama-3.2-3b-instruct__zero.csv,3000.0,0,2.0,2.0
microsoft__phi-4__long.csv,3600.0,0,152.0,152.0
microsoft__phi-4__zero.csv,2400.0,0,890.0,890.0
openai__gpt-4o-mini__zero.csv,3600.0,0,0.0,0.0
qwen__qwen-2.5-7b-instruct__few.csv,2400.0,0,0.0,0.0
qwen__qwen-2.5-7b-instruct__few_ai.csv,2100.0,0,12.0,12.0
qwen__qwen-2.5-7b-instruct__few_mix.csv,2100.0,0,10.0,10.0
qwen__qwen-2.5-7b-instruct__zero.csv,3000.0,0,0.0,0.0
phishsense__ceas08.csv,,149,,
phishsense__ephishllm.csv,,0,,
phishsense__spamassassin.csv,,159,,
