answer,tokens_in,tokens_out,cost_usd,latency_s,id,source,label,model,mode,pred_raw
spam,837,2,4.251e-05,1.331,spamassassin:4742,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
spam,844,2,4.286e-05,1.341,spamassassin:5215,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
phishing,877,3,4.56443e-05,0.906,spamassassin:5738,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
spam,770,2,3.9863e-05,0.943,spamassassin:4496,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
spam,895,2,4.62255e-05,0.948,spamassassin:4625,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
phishing,645,3,3.324e-05,1.312,spamassassin:5468,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
phishing,891,3,4.554e-05,1.006,spamassassin:5352,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
spam,568,2,2.906e-05,1.02,spamassassin:4114,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
phishing,935,3,4.774e-05,0.955,spamassassin:4693,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
phishing,1378,3,6.989e-05,0.562,spamassassin:5201,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
spam,811,2,4.121e-05,0.556,spamassassin:5497,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
spam,737,2,3.81833e-05,0.673,spamassassin:5378,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
spam,777,2,3.951e-05,0.498,spamassassin:4430,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
spam,832,2,4.226e-05,0.552,spamassassin:5746,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
spam,737,2,3.751e-05,0.556,spamassassin:4692,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
spam,1147,2,5.90523e-05,0.513,spamassassin:4394,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
spam,917,2,4.73453e-05,0.598,spamassassin:5420,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
phishing,1312,3,6.77858e-05,0.648,spamassassin:5471,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
spam,836,2,4.246e-05,0.54,spamassassin:5118,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
phishing,872,3,4.459e-05,0.546,spamassassin:5301,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
phishing,891,3,4.63569e-05,0.811,spamassassin:5185,spamassassin,1,meta-llama/llama-3.2-3b-instruct,few_ai,1
