model_a,model_b,scope,n,a_correct_only,b_correct_only,acc_a,acc_b,p_value,significant_at_0.05
Qwen-2.5-7B,TF-IDF + LogReg,six unseen corpora,1800,117,62,0.9317,0.9011,4.79e-05,True
Qwen-2.5-7B,TF-IDF + LogReg,AI-written (E-PhishLLM),300,79,18,0.8467,0.6433,2.72e-10,True
Qwen-2.5-7B,DistilBERT,six unseen corpora,1800,114,51,0.9317,0.8967,1.04e-06,True
Qwen-2.5-7B,DistilBERT,AI-written (E-PhishLLM),300,80,12,0.8467,0.62,1.72e-13,True
Qwen-2.5-7B,Gemma-3-12B,six unseen corpora,1800,204,80,0.9317,0.8628,1.18e-13,True
Qwen-2.5-7B,Gemma-3-12B,AI-written (E-PhishLLM),300,12,44,0.8467,0.9533,2.09e-05,True
Qwen-2.5-7B,Llama-3.1-8B,six unseen corpora,1800,194,77,0.9317,0.8667,8.09e-13,True
Qwen-2.5-7B,Llama-3.1-8B,AI-written (E-PhishLLM),300,14,13,0.8467,0.8433,1.00e+00,False
Qwen-2.5-7B few-shot,Qwen-2.5-7B,six unseen corpora,1800,46,34,0.9383,0.9317,2.19e-01,False
Qwen-2.5-7B few-shot,Qwen-2.5-7B,AI-written (E-PhishLLM),300,0,40,0.7133,0.8467,1.82e-12,True
Qwen-2.5-7B few-shot AI,Qwen-2.5-7B few-shot,six unseen corpora,1800,46,67,0.9267,0.9383,5.94e-02,False
Qwen-2.5-7B few-shot AI,Qwen-2.5-7B few-shot,AI-written (E-PhishLLM),300,23,2,0.7833,0.7133,1.94e-05,True
Llama-3.2-3B few-shot AI,Llama-3.2-3B few-shot,six unseen corpora,1800,85,94,0.9039,0.9089,5.50e-01,False
Llama-3.2-3B few-shot AI,Llama-3.2-3B few-shot,AI-written (E-PhishLLM),300,31,1,0.74,0.64,1.54e-08,True
TF-IDF + LogReg,DistilBERT,six unseen corpora,1800,87,79,0.9011,0.8967,5.87e-01,False
TF-IDF + LogReg,DistilBERT,AI-written (E-PhishLLM),300,41,34,0.6433,0.62,4.89e-01,False
Gemma-3-12B,TF-IDF + LogReg,six unseen corpora,1800,127,196,0.8628,0.9011,1.47e-04,True
Gemma-3-12B,TF-IDF + LogReg,AI-written (E-PhishLLM),300,102,9,0.9533,0.6433,4.26e-21,True
