model,setting,test,n,accuracy,precision,recall,f1
BERT-phishing (published),pretrained,ceas08,300,0.8733,0.9242,0.8133,0.8652
BERT-phishing (published),pretrained,enron,300,0.99,1.0,0.98,0.9899
BERT-phishing (published),pretrained,ephishllm,300,0.6167,0.7612,0.34,0.47
BERT-phishing (published),pretrained,ephishllm_de,300,0.6133,0.6574,0.4733,0.5504
BERT-phishing (published),pretrained,ephishllm_it,300,0.54,0.5217,0.96,0.6761
BERT-phishing (published),pretrained,ephishllm_nolink,300,0.6333,0.7778,0.3733,0.5045
BERT-phishing (published),pretrained,kaggle,300,1.0,1.0,1.0,1.0
BERT-phishing (published),pretrained,ling,300,1.0,1.0,1.0,1.0
BERT-phishing (published),pretrained,nazario,150,0.8933,1.0,0.8933,0.9437
BERT-phishing (published),pretrained,spamassassin,300,0.99,0.9933,0.9867,0.99
BERT-phishing (published),pretrained,trec07,300,0.9267,0.9103,0.9467,0.9281
DistilBERT,in_corpus,ceas08,300,0.9633,0.9427,0.9867,0.9642
DistilBERT,in_corpus,enron,300,0.98,0.9675,0.9933,0.9803
DistilBERT,in_corpus,kaggle,300,0.9633,0.9484,0.98,0.9639
DistilBERT,in_corpus,ling,300,0.9933,1.0,0.9867,0.9933
DistilBERT,in_corpus,spamassassin,300,0.9667,0.973,0.96,0.9664
DistilBERT,in_corpus,trec07,300,0.98,0.9675,0.9933,0.9803
DistilBERT,loco_clean,ceas08,300,0.85,0.9134,0.7733,0.8375
DistilBERT,loco_clean,enron,300,0.8633,0.936,0.78,0.8509
DistilBERT,loco_clean,ephishllm,300,0.62,0.6837,0.4467,0.5403
DistilBERT,loco_clean,ephishllm_de,300,0.54,0.5259,0.8133,0.6387
DistilBERT,loco_clean,ephishllm_it,300,0.5033,0.5017,0.9733,0.6621
DistilBERT,loco_clean,ephishllm_nolink,300,0.62,0.6837,0.4467,0.5403
DistilBERT,loco_clean,ephishllm_url,300,0.63,0.6931,0.4667,0.5578
DistilBERT,loco_clean,kaggle,300,0.92,0.9038,0.94,0.9216
DistilBERT,loco_clean,ling,300,0.9133,0.9844,0.84,0.9065
DistilBERT,loco_clean,nazario,150,0.78,1.0,0.78,0.8764
DistilBERT,loco_clean,nigerian,150,0.9533,1.0,0.9533,0.9761
DistilBERT,loco_clean,spamassassin,300,0.91,0.9128,0.9067,0.9097
DistilBERT,loco_clean,trec07,300,0.9233,0.9441,0.9,0.9215
DistilBERT,loco_raw,ceas08,300,0.8433,0.8992,0.7733,0.8315
DistilBERT,loco_raw,enron,300,0.9267,0.9776,0.8733,0.9225
DistilBERT,loco_raw,kaggle,300,0.96,0.9481,0.9733,0.9605
DistilBERT,loco_raw,ling,300,0.97,0.993,0.9467,0.9693
DistilBERT,loco_raw,spamassassin,300,0.9333,0.9333,0.9333,0.9333
DistilBERT,loco_raw,trec07,300,0.93,0.951,0.9067,0.9283
GPT-4o-mini,llm_zero,ceas08,300,0.9,0.9412,0.8533,0.8951
GPT-4o-mini,llm_zero,enron,300,0.9367,0.9456,0.9267,0.936
GPT-4o-mini,llm_zero,ephishllm,300,0.9233,1.0,0.8467,0.917
GPT-4o-mini,llm_zero,ephishllm_de,300,0.9533,1.0,0.9067,0.951
GPT-4o-mini,llm_zero,ephishllm_it,300,0.9467,1.0,0.8933,0.9437
GPT-4o-mini,llm_zero,ephishllm_nolink,300,0.89,1.0,0.78,0.8764
GPT-4o-mini,llm_zero,ephishllm_url,300,0.9467,1.0,0.8933,0.9437
GPT-4o-mini,llm_zero,kaggle,300,0.9667,0.9545,0.98,0.9671
GPT-4o-mini,llm_zero,ling,300,0.98,0.9737,0.9867,0.9801
GPT-4o-mini,llm_zero,nazario,150,0.9867,1.0,0.9867,0.9933
GPT-4o-mini,llm_zero,nigerian,150,1.0,1.0,1.0,1.0
GPT-4o-mini,llm_zero,spamassassin,300,0.96,0.9423,0.98,0.9608
GPT-4o-mini,llm_zero,trec07,300,0.9633,0.9793,0.9467,0.9627
Gemini-3.1-Flash-Lite,llm_zero,ceas08,300,0.9,0.9688,0.8267,0.8921
Gemini-3.1-Flash-Lite,llm_zero,enron,300,0.9567,0.9858,0.9267,0.9553
Gemini-3.1-Flash-Lite,llm_zero,ephishllm,300,0.95,0.953,0.9467,0.9498
Gemini-3.1-Flash-Lite,llm_zero,ephishllm_de,300,0.9467,0.9241,0.9733,0.9481
Gemini-3.1-Flash-Lite,llm_zero,ephishllm_it,300,0.9667,0.973,0.96,0.9664
Gemini-3.1-Flash-Lite,llm_zero,ephishllm_nolink,300,0.9433,0.9524,0.9333,0.9428
Gemini-3.1-Flash-Lite,llm_zero,ephishllm_url,300,0.95,0.953,0.9467,0.9498
Gemini-3.1-Flash-Lite,llm_zero,kaggle,300,0.9767,0.9673,0.9867,0.9769
Gemini-3.1-Flash-Lite,llm_zero,ling,298,0.9664,1.0,0.9324,0.965
Gemini-3.1-Flash-Lite,llm_zero,nazario,150,0.9867,1.0,0.9867,0.9933
Gemini-3.1-Flash-Lite,llm_zero,nigerian,150,1.0,1.0,1.0,1.0
Gemini-3.1-Flash-Lite,llm_zero,spamassassin,300,0.9833,0.9801,0.9867,0.9834
Gemini-3.1-Flash-Lite,llm_zero,trec07,300,0.9867,0.9932,0.98,0.9866
Gemma-3-12B,llm_zero,ceas08,300,0.9233,0.8802,0.98,0.9274
Gemma-3-12B,llm_zero,enron,300,0.7033,0.6309,0.98,0.7676
Gemma-3-12B,llm_zero,ephishllm,300,0.9533,0.925,0.9867,0.9548
Gemma-3-12B,llm_zero,ephishllm_de,300,0.9233,0.8802,0.98,0.9274
Gemma-3-12B,llm_zero,ephishllm_it,300,0.9467,0.9187,0.98,0.9484
Gemma-3-12B,llm_zero,ephishllm_nolink,300,0.9467,0.9136,0.9867,0.9487
Gemma-3-12B,llm_zero,ephishllm_url,300,0.95,0.9193,0.9867,0.9518
Gemma-3-12B,llm_zero,kaggle,300,0.7967,0.7171,0.98,0.8282
Gemma-3-12B,llm_zero,ling,300,0.8833,0.8363,0.9533,0.891
Gemma-3-12B,llm_zero,nazario,150,0.9867,1.0,0.9867,0.9933
Gemma-3-12B,llm_zero,nigerian,150,1.0,1.0,1.0,1.0
Gemma-3-12B,llm_zero,spamassassin,300,0.9167,0.8698,0.98,0.9216
Gemma-3-12B,llm_zero,trec07,300,0.9533,0.925,0.9867,0.9548
Llama-3.1-8B,llm_zero,ceas08,300,0.9333,0.9114,0.96,0.9351
Llama-3.1-8B,llm_zero,enron,300,0.73,0.659,0.9533,0.7793
Llama-3.1-8B,llm_zero,ephishllm,300,0.8433,0.9813,0.7,0.8171
Llama-3.1-8B,llm_zero,ephishllm_de,300,0.9333,0.9452,0.92,0.9324
Llama-3.1-8B,llm_zero,ephishllm_it,300,0.9267,0.9638,0.8867,0.9236
Llama-3.1-8B,llm_zero,ephishllm_nolink,300,0.8533,0.9818,0.72,0.8308
Llama-3.1-8B,llm_zero,ephishllm_url,300,0.9033,0.984,0.82,0.8945
Llama-3.1-8B,llm_zero,kaggle,300,0.7967,0.7306,0.94,0.8222
Llama-3.1-8B,llm_zero,ling,300,0.93,0.951,0.9067,0.9283
Llama-3.1-8B,llm_zero,nazario,150,0.9733,1.0,0.9733,0.9865
Llama-3.1-8B,llm_zero,nigerian,150,1.0,1.0,1.0,1.0
