answer,tokens_in,tokens_out,cost_usd,latency_s,id,source,label,model,mode,pred_raw
phishing,373,2,5.715e-05,2.87,spamassassin:4742,spamassassin,1,openai/gpt-4o-mini,zero,1
spam,368,1,5.58e-05,2.877,spamassassin:5215,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,390,2,5.97e-05,0.787,spamassassin:5738,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,284,2,4.38e-05,2.876,spamassassin:4496,spamassassin,1,openai/gpt-4o-mini,zero,1
spam,408,1,6.18e-05,3.072,spamassassin:4625,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,179,2,2.805e-05,2.639,spamassassin:5468,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,426,2,6.51e-05,0.869,spamassassin:5352,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,102,2,1.65e-05,0.787,spamassassin:4114,spamassassin,1,openai/gpt-4o-mini,zero,1
spam,467,1,7.065e-05,0.814,spamassassin:4693,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,909,2,0.00013755,1.504,spamassassin:5201,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,348,2,5.34e-05,0.91,spamassassin:5497,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,245,2,3.795e-05,0.778,spamassassin:5378,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,311,2,4.785e-05,1.319,spamassassin:4430,spamassassin,1,openai/gpt-4o-mini,zero,1
spam,365,1,5.535e-05,0.775,spamassassin:5746,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,271,2,4.185e-05,0.845,spamassassin:4692,spamassassin,1,openai/gpt-4o-mini,zero,1
spam,629,1,9.495e-05,0.787,spamassassin:4394,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,430,2,6.57e-05,1.061,spamassassin:5420,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,822,2,0.0001245,1.172,spamassassin:5471,spamassassin,1,openai/gpt-4o-mini,zero,1
spam,369,1,5.595e-05,1.335,spamassassin:5118,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,405,2,6.195e-05,0.852,spamassassin:5301,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,409,2,6.255e-05,0.654,spamassassin:5185,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,304,2,4.68e-05,1.638,spamassassin:5721,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,234,2,3.63e-05,1.431,spamassassin:5037,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,365,2,5.595e-05,1.259,spamassassin:4473,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,390,2,5.97e-05,1.191,spamassassin:4169,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,259,2,4.005e-05,1.995,spamassassin:5027,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,222,2,3.45e-05,1.534,spamassassin:4907,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,1028,2,0.0001554,1.177,spamassassin:4553,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,458,2,6.99e-05,1.117,spamassassin:4422,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,74,2,1.23e-05,0.799,spamassassin:5012,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,440,2,6.72e-05,1.609,spamassassin:5781,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,485,2,7.395e-05,0.786,spamassassin:5503,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,317,2,4.875e-05,1.45,spamassassin:4848,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,403,2,6.165e-05,1.176,spamassassin:4520,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,241,2,3.735e-05,1.792,spamassassin:5509,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,417,2,6.375e-05,1.195,spamassassin:5628,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,289,2,4.455e-05,0.807,spamassassin:4617,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,397,2,6.075e-05,0.84,spamassassin:5362,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,320,2,4.92e-05,0.737,spamassassin:4792,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,250,2,3.87e-05,1.519,spamassassin:5791,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,458,2,6.99e-05,1.052,spamassassin:4389,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,166,2,2.61e-05,0.752,spamassassin:4276,spamassassin,1,openai/gpt-4o-mini,zero,1
spam,454,1,6.87e-05,1.016,spamassassin:4869,spamassassin,1,openai/gpt-4o-mini,zero,1
spam,163,1,2.505e-05,0.937,spamassassin:4433,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,399,2,6.105e-05,1.112,spamassassin:5169,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,334,2,5.13e-05,1.525,spamassassin:5410,spamassassin,1,openai/gpt-4o-mini,zero,1
phishing,436,2,6.66e-05,1.304,spamassassin:5740,spamassassin,1,openai/gpt-4o-mini,zero,1
