answer,tokens_in,tokens_out,cost_usd,latency_s,id,source,label,model,mode,pred_raw
ph,380,1,9.65e-05,5.173,spamassassin:4742,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,396,1,0.0001005,4.861,spamassassin:5215,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,396,1,0.0001005,4.926,spamassassin:5738,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,327,1,8.325e-05,4.907,spamassassin:4496,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,428,1,0.0001085,4.827,spamassassin:4625,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,194,1,5e-05,2.543,spamassassin:5468,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,465,1,0.00011775,1.646,spamassassin:5352,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,94,1,2.5e-05,3.605,spamassassin:4114,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,569,1,0.00014375,0.949,spamassassin:4693,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,945,1,0.00023775,1.439,spamassassin:5201,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,434,1,0.00011,0.973,spamassassin:5497,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,265,1,6.775e-05,1.362,spamassassin:5378,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,346,1,8.8e-05,0.893,spamassassin:4430,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,373,1,9.475e-05,1.009,spamassassin:5746,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,307,1,7.825e-05,1.332,spamassassin:4692,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,669,1,0.00016875,1.032,spamassassin:4394,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,487,1,0.00012325,1.014,spamassassin:5420,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,909,1,0.00022875,1.533,spamassassin:5471,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,388,1,9.85e-05,1.279,spamassassin:5118,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,438,1,0.000111,0.974,spamassassin:5301,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,428,1,0.0001085,0.878,spamassassin:5185,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,327,1,8.325e-05,0.824,spamassassin:5721,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,274,1,7e-05,1.006,spamassassin:5037,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,417,1,0.00010575,1.259,spamassassin:4473,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,424,1,0.0001075,0.784,spamassassin:4169,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,257,1,6.575e-05,0.922,spamassassin:5027,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,247,1,6.325e-05,0.882,spamassassin:4907,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,1235,1,0.00031025,1.468,spamassassin:4553,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
ph,516,1,0.0001305,1.113,spamassassin:4422,spamassassin,1,google/gemini-3.1-flash-lite,zero,1
