model,setting,source,id,label,pred,answer,cpu_sec_per_1000
phishsense,pretrained,ephishllm_nolink,ephishllm:6684,1,1,truetrue#,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:5664,1,1,truetruetruetrue,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:9218,1,1,truetruetruetruetrue,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:9766,1,1,true#truetrue,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:6382,1,0,falsetruetruetruetrue,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:8505,1,1,true#question,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:5680,1,1,truetruetruetruetrue,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:6079,1,1,truetruetruetruetrue,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:5955,1,1,truetruetruetruetrue,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:5931,1,1,truetruetruetrue,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:9645,1,1,truequestionquestion,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:5340,1,1,truetruetruetruetrue,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:9153,1,0,falsetruetruetruetrue,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:8344,1,1,truetruetruetruetrue,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:6523,1,1,truetruetruetruetrue,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:8949,1,1,truetruetruetrue,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:6108,1,0,falsefalsetruetruefalse,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:7519,1,1,truequestionquestion,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:4810,1,0,falsefalsefalsefalsefalse,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:8748,1,1,truetruetruetruetrue,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:8977,1,1,true#truetrue,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:7016,1,1,truequestionquestion,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:5317,1,1,truetruetruetrue,1078.0
phishsense,pretrained,ephishllm_nolink,ephishllm:7243,1,1,truequestionquestion,1078.0
