id,best_jaccard,brute_force_duplicate,pipeline_said_duplicate
spamassassin:full5299,0.045,False,False
spamassassin:full4979,0.971,True,True
spamassassin:full4268,0.975,True,True
spamassassin:full4387,0.822,True,True
spamassassin:full1552,0.996,True,True
spamassassin:full2571,1.0,True,True
spamassassin:full5077,0.965,True,True
spamassassin:full3335,0.047,False,False
spamassassin:full4435,0.978,True,True
spamassassin:full1549,0.996,True,True
spamassassin:full2213,0.892,True,True
spamassassin:full5294,0.18,False,False
spamassassin:full5000,0.985,True,True
spamassassin:full4014,1.0,True,True
spamassassin:full4465,0.311,False,False
spamassassin:full4911,1.0,True,True
spamassassin:full396,0.994,True,True
spamassassin:full3547,1.0,True,True
spamassassin:full2587,0.996,True,True
spamassassin:full730,1.0,True,True
spamassassin:full5499,0.899,True,True
spamassassin:full532,0.996,True,True
spamassassin:full5242,1.0,True,True
spamassassin:full3870,0.267,False,False
spamassassin:full5648,1.0,True,True
spamassassin:full4661,0.982,True,True
spamassassin:full1218,1.0,True,True
spamassassin:full2064,0.832,True,True
spamassassin:full5085,0.469,False,False
spamassassin:full323,1.0,True,True
spamassassin:full5581,0.942,True,True
spamassassin:full4030,0.991,True,True
spamassassin:full4752,0.06,False,False
spamassassin:full5330,0.153,False,False
spamassassin:full4154,0.924,True,True
spamassassin:full4350,1.0,True,True
spamassassin:full579,1.0,True,True
spamassassin:full4583,0.94,True,True
spamassassin:full5370,0.84,True,True
spamassassin:full3080,0.435,False,False
spamassassin:full5725,0.94,True,True
spamassassin:full4890,0.603,False,False
spamassassin:full399,1.0,True,True
spamassassin:full5707,1.0,True,True
spamassassin:full3279,1.0,True,True
spamassassin:full5772,0.983,True,True
spamassassin:full4852,1.0,True,True
spamassassin:full4417,0.976,True,True
spamassassin:full4944,0.125,False,False
spamassassin:full5276,0.037,False,False
spamassassin:full4377,0.993,True,True
spamassassin:full4408,0.542,False,False
spamassassin:full4797,0.855,True,True
spamassassin:full5526,1.0,True,True
spamassassin:full1034,1.0,True,True
spamassassin:full2812,1.0,True,True
spamassassin:full2476,0.145,False,False
spamassassin:full3471,1.0,True,True
spamassassin:full3016,0.998,True,True
spamassassin:full4943,0.957,True,True
spamassassin:full5779,0.041,False,False
spamassassin:full5531,0.162,False,False
