answer,tokens_in,tokens_out,cost_usd,latency_s,id,source,label,model,mode,pred_raw
"phishing

this email",373,5,2.681e-05,0.582,spamassassin:4742,spamassassin,1,microsoft/phi-4,zero,1
phishing,380,3,2.702e-05,3.47,spamassassin:5215,spamassassin,1,microsoft/phi-4,zero,1
phishing,394,3,2.8e-05,0.96,spamassassin:5738,spamassassin,1,microsoft/phi-4,zero,1
phishing,287,3,2.051e-05,0.559,spamassassin:4496,spamassassin,1,microsoft/phi-4,zero,1
phishing,412,3,2.926e-05,0.694,spamassassin:4625,spamassassin,1,microsoft/phi-4,zero,1
phishing,181,3,1.309e-05,1.199,spamassassin:5468,spamassassin,1,microsoft/phi-4,zero,1
"phishing

this email",427,5,3.059e-05,0.523,spamassassin:5352,spamassassin,1,microsoft/phi-4,zero,1
phishing,104,3,7.7e-06,0.561,spamassassin:4114,spamassassin,1,microsoft/phi-4,zero,1
"phishing

the email",471,5,3.367e-05,0.723,spamassassin:4693,spamassassin,1,microsoft/phi-4,zero,1
"phishing

the email",924,5,6.538e-05,0.537,spamassassin:5201,spamassassin,1,microsoft/phi-4,zero,1
phishing,350,3,2.492e-05,0.712,spamassassin:5497,spamassassin,1,microsoft/phi-4,zero,1
phishing,254,3,1.82e-05,0.676,spamassassin:5378,spamassassin,1,microsoft/phi-4,zero,1
"phishing

the email",313,5,2.261e-05,1.085,spamassassin:4430,spamassassin,1,microsoft/phi-4,zero,1
"phishing

this email",368,5,2.646e-05,0.504,spamassassin:5746,spamassassin,1,microsoft/phi-4,zero,1
phishing,273,3,1.953e-05,0.469,spamassassin:4692,spamassassin,1,microsoft/phi-4,zero,1
phishing,664,3,4.69e-05,0.484,spamassassin:4394,spamassassin,1,microsoft/phi-4,zero,1
phishing,434,3,3.08e-05,0.483,spamassassin:5420,spamassassin,1,microsoft/phi-4,zero,1
phishing,829,3,5.845e-05,0.941,spamassassin:5471,spamassassin,1,microsoft/phi-4,zero,1
phishing,372,3,2.646e-05,0.573,spamassassin:5118,spamassassin,1,microsoft/phi-4,zero,1
