model,type,in_corpus_f1,unseen_f1_mean,unseen_f1_ci,unseen_f1_jackknife,unseen_f1_worst,false_alarm_rate,false_alarm_worst,ai_phishing_f1,nazario_recall,nigerian_recall,usd_per_1000,unparsed_pct
BERT-phishing (published),published detector,,0.962,0.952-0.971,0.955-0.982,0.865,0.028,0.093,0.47,0.893,,0.0,0.0
Gemini-3.1-Flash-Lite,frontier LLM,,0.96,0.950-0.968,0.955-0.973,0.892,0.017,0.033,0.95,0.987,1.0,0.08,0.0
GPT-4o-mini,frontier LLM,,0.95,0.939-0.961,0.944-0.961,0.895,0.043,0.06,0.917,0.987,1.0,0.0462,0.0
Qwen-2.5-7B few-shot mixed,small LLM,,0.948,0.936-0.958,0.944-0.953,0.919,0.049,0.107,0.673,,,0.0834,0.5
Phishsense-1B (published),published detector,,0.947,0.935-0.958,0.938-0.967,0.849,0.07,0.147,0.839,1.0,,0.0,0.0
Qwen-2.5-7B few-shot,small LLM,,0.937,0.924-0.949,0.928-0.955,0.844,0.048,0.113,0.598,0.847,1.0,0.075,0.0
Qwen-2.5-7B few-shot AI,small LLM,,0.93,0.916-0.944,0.920-0.940,0.882,0.104,0.233,0.723,,,0.0786,0.6
Qwen-2.5-7B,small LLM,,0.928,0.915-0.941,0.921-0.944,0.85,0.03,0.08,0.819,0.94,1.0,0.0325,0.0
Llama-3.2-3B few-shot AI,small LLM,,0.903,0.886-0.919,0.889-0.919,0.827,0.099,0.173,0.649,,,0.0402,1.3
Llama-3.2-3B few-shot,small LLM,,0.901,0.885-0.917,0.892-0.912,0.848,0.027,0.08,0.438,0.68,0.993,0.0378,0.0
TF-IDF + LogReg,classical,0.968,0.899,0.882-0.914,0.886-0.917,0.807,0.096,0.187,0.64,0.713,1.0,0.0,0.0
TF-IDF + NB,classical,0.884,0.894,0.879-0.909,0.877-0.918,0.773,0.066,0.113,0.631,0.6,0.987,0.0,0.0
ModernBERT-phishing (published),published detector,,0.892,0.876-0.906,0.882-0.901,0.846,0.034,0.06,0.149,0.513,,0.0,0.0
DistilBERT,fine-tuned encoder,0.975,0.891,0.876-0.906,0.885-0.902,0.838,0.063,0.1,0.54,0.78,0.953,0.0,0.0
Gemma-3-12B,small LLM,,0.882,0.859-0.901,0.867-0.905,0.768,0.251,0.573,0.955,0.987,1.0,0.0167,0.0
Llama-3.1-8B,small LLM,,0.881,0.859-0.902,0.870-0.901,0.779,0.214,0.493,0.817,0.973,1.0,0.012,0.5
Llama-3.2-3B,small LLM,,0.85,0.831-0.869,0.836-0.861,0.799,0.051,0.113,0.507,0.827,1.0,0.0171,0.1
Phi-4-14B relaxed,small LLM,,0.754,0.716-0.788,0.746-0.762,0.715,0.48,0.56,0.7,0.773,0.86,0.0292,4.2
Phi-4-14B,small LLM,,0.727,0.694-0.753,0.710-0.748,0.621,0.276,0.34,0.759,0.66,0.513,0.0219,37.1
Llama-3.2-1B,small LLM,,0.623,0.580-0.662,0.600-0.676,0.359,0.599,0.673,0.474,0.76,0.6,0.0091,1.0
