answer,tokens_in,tokens_out,cost_usd,latency_s,id,source,label,model,mode,pred_raw
phishing,378,3,7.71e-06,0.957,spamassassin:4742,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,385,3,7.85e-06,2.948,spamassassin:5215,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,418,3,2.114e-05,0.441,spamassassin:5738,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,292,3,5.99e-06,1.167,spamassassin:4496,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,417,3,8.49e-06,0.956,spamassassin:4625,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,186,3,3.87e-06,0.961,spamassassin:5468,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,451,3,2.279e-05,2.359,spamassassin:5352,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,109,3,2.33e-06,1.888,spamassassin:4114,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,495,3,2.499e-05,1.128,spamassassin:4693,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,919,3,1.853e-05,1.572,spamassassin:5201,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,352,3,7.19e-06,0.748,spamassassin:5497,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,259,3,5.33e-06,0.757,spamassassin:5378,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,318,3,6.51e-06,4.149,spamassassin:4430,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,373,3,7.61e-06,1.085,spamassassin:5746,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,278,3,5.71e-06,1.205,spamassassin:4692,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,669,3,1.353e-05,1.118,spamassassin:4394,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,439,3,8.93e-06,0.722,spamassassin:5420,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,853,3,4.289e-05,0.667,spamassassin:5471,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,376,3,7.64e-06,1.129,spamassassin:5118,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,413,3,8.41e-06,0.84,spamassassin:5301,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,413,3,8.41e-06,1.066,spamassassin:5185,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,305,3,6.25e-06,1.868,spamassassin:5721,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,240,3,4.95e-06,1.118,spamassassin:5037,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,377,3,7.69e-06,1.833,spamassassin:4473,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,395,3,8.05e-06,1.713,spamassassin:4169,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,268,3,5.51e-06,0.766,spamassassin:5027,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,228,3,4.71e-06,0.974,spamassassin:4907,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,1028,3,2.071e-05,1.02,spamassassin:4553,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,465,3,9.45e-06,0.946,spamassassin:4422,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,79,3,1.7e-06,1.263,spamassassin:5012,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,449,3,9.13e-06,1.889,spamassassin:5781,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,493,3,1.001e-05,0.748,spamassassin:5503,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,322,3,6.59e-06,1.456,spamassassin:4848,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,415,3,8.45e-06,0.758,spamassassin:4520,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,249,3,5.1e-06,0.693,spamassassin:5509,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,423,3,8.61e-06,1.723,spamassassin:5628,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,294,3,6e-06,0.854,spamassassin:4617,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,408,3,8.31e-06,0.79,spamassassin:5362,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,325,3,6.65e-06,0.87,spamassassin:4792,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,281,3,1.429e-05,0.269,spamassassin:5791,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,484,3,2.444e-05,1.399,spamassassin:4389,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,194,3,9.94e-06,0.508,spamassassin:4276,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,460,3,9.35e-06,0.774,spamassassin:4869,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,167,3,3.46e-06,1.515,spamassassin:4433,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,410,3,8.35e-06,1.177,spamassassin:5169,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,356,3,7.27e-06,0.739,spamassassin:5410,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,447,3,9.09e-06,1.079,spamassassin:5740,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,429,3,8.73e-06,0.716,spamassassin:5677,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,373,3,7.61e-06,0.75,spamassassin:4673,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,167,3,3.49e-06,0.795,spamassassin:5597,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,342,3,6.99e-06,0.743,spamassassin:4541,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,340,3,6.95e-06,0.713,spamassassin:4505,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,316,3,6.47e-06,0.767,spamassassin:5751,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,406,3,8.27e-06,0.789,spamassassin:4279,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,618,3,1.251e-05,0.778,spamassassin:5300,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,226,3,4.67e-06,1.158,spamassassin:4140,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,423,3,8.58e-06,1.682,spamassassin:5057,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,288,3,5.91e-06,0.79,spamassassin:5667,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,434,3,8.83e-06,0.781,spamassassin:5325,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,275,3,1.399e-05,0.253,spamassassin:4964,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,331,3,6.77e-06,1.209,spamassassin:4680,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,406,3,8.24e-06,0.727,spamassassin:4950,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,217,3,4.49e-06,1.058,spamassassin:4569,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
i cannot create content that,117,5,2.59e-06,0.761,spamassassin:4226,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,-1
phishing,331,3,6.77e-06,0.779,spamassassin:5743,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,423,3,8.61e-06,0.907,spamassassin:5144,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,337,3,6.86e-06,0.802,spamassassin:5001,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,307,3,6.26e-06,0.63,spamassassin:5326,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,417,3,8.49e-06,0.787,spamassassin:4773,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,356,3,7.27e-06,0.788,spamassassin:4827,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,441,3,8.97e-06,1.115,spamassassin:4407,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,548,3,1.111e-05,0.79,spamassassin:5769,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,192,3,3.99e-06,0.77,spamassassin:4570,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,515,3,1.042e-05,0.719,spamassassin:5350,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,156,3,3.27e-06,0.756,spamassassin:5689,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,362,3,7.39e-06,0.841,spamassassin:4768,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,474,3,9.63e-06,0.953,spamassassin:4868,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,1067,3,0.000163045,0.941,spamassassin:4161,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,421,3,8.54e-06,0.681,spamassassin:5080,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,229,3,4.73e-06,1.424,spamassassin:4160,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,268,3,5.51e-06,1.078,spamassassin:5629,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,484,3,2.444e-05,0.502,spamassassin:4555,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
phishing,336,3,6.84e-06,1.409,spamassassin:4362,spamassassin,1,meta-llama/llama-3.1-8b-instruct,zero,1
