model,setting,source,id,label,pred
distilbert,in_corpus,kaggle,kaggle:9136,1,1
distilbert,in_corpus,kaggle,kaggle:9695,1,1
distilbert,in_corpus,kaggle,kaggle:9294,1,1
distilbert,in_corpus,kaggle,kaggle:9570,1,1
distilbert,in_corpus,kaggle,kaggle:6656,1,1
distilbert,in_corpus,kaggle,kaggle:6539,1,1
distilbert,in_corpus,kaggle,kaggle:6448,1,1
distilbert,in_corpus,kaggle,kaggle:8693,1,1
distilbert,in_corpus,kaggle,kaggle:7893,1,1
distilbert,in_corpus,kaggle,kaggle:6708,1,1
distilbert,in_corpus,kaggle,kaggle:8023,1,1
distilbert,in_corpus,kaggle,kaggle:8387,1,1
distilbert,in_corpus,kaggle,kaggle:6389,1,1
distilbert,in_corpus,kaggle,kaggle:7491,1,1
distilbert,in_corpus,kaggle,kaggle:7922,1,1
distilbert,in_corpus,kaggle,kaggle:8822,1,1
distilbert,in_corpus,kaggle,kaggle:8322,1,1
distilbert,in_corpus,kaggle,kaggle:9838,1,1
distilbert,in_corpus,kaggle,kaggle:8955,1,1
distilbert,in_corpus,kaggle,kaggle:9889,1,1
distilbert,in_corpus,kaggle,kaggle:7963,1,1
distilbert,in_corpus,kaggle,kaggle:9455,1,1
distilbert,in_corpus,kaggle,kaggle:7383,1,1
distilbert,in_corpus,kaggle,kaggle:7087,1,1
distilbert,in_corpus,kaggle,kaggle:7360,1,1
distilbert,in_corpus,kaggle,kaggle:9740,1,1
distilbert,in_corpus,kaggle,kaggle:9469,1,1
distilbert,in_corpus,kaggle,kaggle:6453,1,1
distilbert,in_corpus,kaggle,kaggle:6620,1,1
distilbert,in_corpus,kaggle,kaggle:8083,1,1
distilbert,in_corpus,kaggle,kaggle:6465,1,1
distilbert,in_corpus,kaggle,kaggle:8384,1,1
distilbert,in_corpus,kaggle,kaggle:9231,1,1
distilbert,in_corpus,kaggle,kaggle:8745,1,1
distilbert,in_corpus,kaggle,kaggle:8550,1,1
distilbert,in_corpus,kaggle,kaggle:7681,1,1
distilbert,in_corpus,kaggle,kaggle:7957,1,1
distilbert,in_corpus,kaggle,kaggle:9159,1,1
distilbert,in_corpus,kaggle,kaggle:6701,1,1
distilbert,in_corpus,kaggle,kaggle:8619,1,1
distilbert,in_corpus,kaggle,kaggle:6683,1,1
distilbert,in_corpus,kaggle,kaggle:9842,1,1
distilbert,in_corpus,kaggle,kaggle:8978,1,1
distilbert,in_corpus,kaggle,kaggle:9243,1,1
distilbert,in_corpus,kaggle,kaggle:7589,1,1
distilbert,in_corpus,kaggle,kaggle:9575,1,1
distilbert,in_corpus,kaggle,kaggle:7605,1,1
distilbert,in_corpus,kaggle,kaggle:9375,1,1
