model,usd_per_1000,usd_per_1000_all_sets,total_usd,calls,unparsed_pct,api_failed,median_latency_s,tokens_in_mean
Qwen-2.5-7B,0.03251,0.02713,0.09768,3600,0.0,0,0.589,265.32778
GPT-4o-mini,0.04621,0.03843,0.13834,3600,0.0,0,1.032,248.295
Gemini-3.1-Flash-Lite,0.08004,0.06517,0.2345,3598,0.0,0,0.9375,254.69983
Llama-3.2-3B few-shot AI,0.04016,0.03918,0.08228,2100,1.28571,0,0.499,757.66667
Qwen-2.5-7B few-shot AI,0.07864,0.0765,0.16064,2100,0.57143,0,0.566,759.5619
Llama-3.1-8B,0.01198,0.00902,0.03245,3600,0.52778,0,0.727,265.2325
Phi-4-14B,0.02187,0.02078,0.04987,2400,37.08333,0,0.602,288.03958
Qwen-2.5-7B few-shot,0.07503,0.07372,0.17693,2400,0.0,0,0.646,731.28
Llama-3.2-3B,0.01711,0.01562,0.04686,3000,0.06667,0,0.522,289.06833
Qwen-2.5-7B few-shot mixed,0.08343,0.08158,0.17132,2100,0.47619,0,0.552,810.13333
Llama-3.2-1B,0.00911,0.00868,0.02083,2400,1.0,0,0.527,292.7275
Gemma-3-12B,0.01665,0.01368,0.04925,3600,0.0,0,0.806,264.66611
Llama-3.2-3B few-shot,0.03779,0.03715,0.08916,2400,0.0,0,0.533,715.36542
Phi-4-14B relaxed,0.02918,0.02677,0.09636,3600,4.22222,0,1.521,255.71694
