model,setting,source,id,label,pred,cpu_sec_per_1000
modernbert,pretrained,ephishllm_it,ephishllm_it:2353,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2468,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1117,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1171,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2315,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:813,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1226,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:760,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2681,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2386,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2331,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:790,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2188,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2337,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2472,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2482,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2281,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2531,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2589,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1131,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:805,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:994,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2605,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:860,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:862,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:748,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:969,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:993,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:978,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:800,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:817,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1152,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2436,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1233,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2403,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:727,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2539,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2623,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1161,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2186,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:979,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1098,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2456,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:882,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2434,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2689,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:792,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1256,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2372,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2290,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1059,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1194,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:896,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1063,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2369,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:774,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2558,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2637,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:903,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1245,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2455,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2588,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:755,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1136,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2693,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2566,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1027,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1262,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1151,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1300,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1227,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1032,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1023,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1102,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2199,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1046,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:948,1,0,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2252,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2302,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:832,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1002,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:735,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:924,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2641,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2259,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2485,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2301,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:914,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:878,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1003,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1037,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2334,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1035,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:844,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1255,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1084,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:964,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1036,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2555,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1065,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2264,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:714,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1071,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1055,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2262,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:902,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1183,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2219,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2476,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1067,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2582,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1274,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2240,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2571,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2245,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2347,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2366,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2584,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:753,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:811,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:763,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:913,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2326,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2358,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2227,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:998,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1134,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2621,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2475,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1257,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1092,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1236,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:912,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2420,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1115,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:787,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1186,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1146,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2494,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1113,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1000,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1205,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2183,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1129,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:780,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2563,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:842,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:935,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1298,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:951,1,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2104,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1597,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:432,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1576,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1782,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1638,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2176,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1550,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2151,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:566,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:65,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:427,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:59,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1761,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1647,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:506,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1619,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:270,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2131,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:275,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:30,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2142,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2107,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:29,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:123,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:175,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1537,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1470,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:495,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:482,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1596,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1665,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1368,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2128,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1622,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:141,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1325,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:332,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1745,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:198,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1322,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1334,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1451,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:1946,0,1,459.2
modernbert,pretrained,ephishllm_it,ephishllm_it:2139,0,1,459.2
