answer,tokens_in,tokens_out,cost_usd,latency_s,id,source,label,model,mode,pred_raw
spam,847,2,8.51e-05,2.967,spamassassin:4742,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,855,2,8.59e-05,2.703,spamassassin:5215,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,860,2,8.64e-05,2.945,spamassassin:5738,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,766,2,7.7e-05,2.705,spamassassin:4496,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,888,2,8.92e-05,2.916,spamassassin:4625,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,647,2,6.51e-05,2.688,spamassassin:5468,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,915,2,9.19e-05,1.462,spamassassin:5352,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,570,2,5.74e-05,1.65,spamassassin:4114,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,1013,2,0.0001017,0.511,spamassassin:4693,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
phishing,1416,3,0.0001422,3.321,spamassassin:5201,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,878,2,8.82e-05,0.526,spamassassin:5497,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,718,2,7.22e-05,1.375,spamassassin:5378,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,786,2,7.9e-05,0.661,spamassassin:4430,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,846,2,8.5e-05,1.596,spamassassin:5746,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,762,2,7.66e-05,0.592,spamassassin:4692,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,1147,2,0.0001151,0.593,spamassassin:4394,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,934,2,9.38e-05,0.718,spamassassin:5420,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
phishing,1370,3,0.0001376,0.709,spamassassin:5471,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,836,2,8.4e-05,0.786,spamassassin:5118,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,890,2,8.94e-05,0.584,spamassassin:5301,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
phishing,878,3,8.84e-05,0.901,spamassassin:5185,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
phishing,786,3,7.92e-05,0.822,spamassassin:5721,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,722,2,7.26e-05,0.877,spamassassin:5037,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,839,2,8.43e-05,0.656,spamassassin:4473,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
phishing,867,3,8.73e-05,0.635,spamassassin:4169,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,728,2,7.32e-05,0.97,spamassassin:5027,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,690,2,6.94e-05,0.954,spamassassin:4907,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
phishing,1616,3,0.0001622,0.938,spamassassin:4553,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
phishing,980,3,9.86e-05,0.909,spamassassin:4422,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,543,2,5.47e-05,2.039,spamassassin:5012,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,930,2,9.34e-05,0.708,spamassassin:5781,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
phishing,1022,3,0.0001028,0.849,spamassassin:5503,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
phishing,822,3,8.28e-05,0.867,spamassassin:4848,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
phishing,876,3,8.82e-05,1.623,spamassassin:4520,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,712,2,7.16e-05,0.803,spamassassin:5509,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
phishing,897,3,9.03e-05,0.789,spamassassin:5628,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
phishing,757,3,7.63e-05,0.829,spamassassin:4617,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,884,2,8.88e-05,0.761,spamassassin:5362,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
phishing,825,3,8.31e-05,1.002,spamassassin:4792,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,766,2,7.7e-05,0.922,spamassassin:5791,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,1001,2,0.0001005,0.795,spamassassin:4389,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
phishing,634,3,6.4e-05,0.809,spamassassin:4276,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
spam,974,2,9.78e-05,0.712,spamassassin:4869,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_ai,1
