model,setting,recall,false_alarm,precision@0.5,f1@0.5,false_alerts_per_1000@0.5,precision@0.1,f1@0.1,false_alerts_per_1000@0.1,precision@0.05,f1@0.05,false_alerts_per_1000@0.05,precision@0.01,f1@0.01,false_alerts_per_1000@0.01
Gemini-3.1-Flash-Lite,llm_zero,0.94,0.017,0.983,0.961,8.3,0.862,0.899,15.0,0.748,0.833,15.8,0.363,0.524,16.5
Qwen-2.5-7B,llm_zero,0.893,0.03,0.968,0.929,15.0,0.768,0.826,27.0,0.61,0.725,28.5,0.231,0.367,29.7
Llama-3.2-3B few-shot,llm_few,0.844,0.027,0.969,0.903,13.3,0.779,0.81,24.0,0.625,0.718,25.3,0.242,0.377,26.4
GPT-4o-mini,llm_zero,0.946,0.043,0.956,0.951,21.7,0.708,0.81,39.0,0.535,0.683,41.2,0.181,0.303,42.9
Qwen-2.5-7B few-shot mixed,llm_few_mix,0.944,0.049,0.951,0.948,24.4,0.682,0.792,44.0,0.504,0.657,46.4,0.163,0.278,48.4
Qwen-2.5-7B few-shot,llm_few,0.924,0.048,0.951,0.937,23.9,0.683,0.785,43.0,0.505,0.653,45.4,0.163,0.278,47.3
Llama-3.2-3B,llm_zero,0.778,0.051,0.938,0.851,25.6,0.628,0.695,46.0,0.445,0.566,48.6,0.133,0.227,50.6
DistilBERT,loco_clean,0.857,0.063,0.931,0.892,31.7,0.6,0.706,57.0,0.416,0.56,60.2,0.12,0.211,62.7
TF-IDF + NB,loco_clean,0.867,0.066,0.93,0.897,32.8,0.595,0.706,59.0,0.41,0.557,62.3,0.118,0.207,64.9
Qwen-2.5-7B few-shot AI,llm_few_ai,0.958,0.104,0.902,0.929,52.2,0.505,0.661,94.0,0.326,0.486,99.2,0.085,0.156,103.4
TF-IDF + LogReg,loco_clean,0.898,0.096,0.904,0.901,47.8,0.511,0.651,86.0,0.331,0.484,90.8,0.087,0.158,94.6
Llama-3.2-3B few-shot AI,llm_few_ai,0.907,0.099,0.902,0.904,49.4,0.505,0.648,89.0,0.325,0.479,93.9,0.085,0.155,97.9
Llama-3.1-8B,llm_zero,0.948,0.214,0.815,0.877,107.2,0.329,0.489,193.0,0.189,0.315,203.7,0.043,0.082,212.3
Gemma-3-12B,llm_zero,0.977,0.251,0.795,0.877,125.6,0.302,0.461,226.0,0.17,0.289,238.6,0.038,0.073,248.6
Phi-4-14B,llm_zero,0.732,0.276,0.727,0.729,137.8,0.228,0.348,248.0,0.123,0.21,261.8,0.026,0.05,272.8
Phi-4-14B relaxed,llm_long,0.896,0.48,0.651,0.754,240.0,0.172,0.288,432.0,0.089,0.163,456.0,0.018,0.036,475.2
Llama-3.2-1B,llm_zero,0.743,0.599,0.554,0.635,299.4,0.121,0.208,539.0,0.061,0.113,568.9,0.012,0.024,592.9
