model,dataset,true_label,prediction,raw_answer
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,0,i cannot determine the legitimacy of an email
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,1,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,1,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,1,phishing
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,0,legitimate
meta-llama/llama-3.2-3b-instruct,kaggle,0,1,phishing
