model,setting,source,id,label,pred,cpu_sec_per_1000
modernbert,pretrained,ling,ling:1902,1,1,1011.7
modernbert,pretrained,ling,ling:209,1,1,1011.7
modernbert,pretrained,ling,ling:2076,1,1,1011.7
modernbert,pretrained,ling,ling:1327,1,1,1011.7
modernbert,pretrained,ling,ling:985,1,1,1011.7
modernbert,pretrained,ling,ling:1259,1,1,1011.7
modernbert,pretrained,ling,ling:1075,1,1,1011.7
modernbert,pretrained,ling,ling:622,1,1,1011.7
modernbert,pretrained,ling,ling:2510,1,1,1011.7
modernbert,pretrained,ling,ling:178,1,0,1011.7
modernbert,pretrained,ling,ling:457,1,1,1011.7
modernbert,pretrained,ling,ling:1059,1,1,1011.7
modernbert,pretrained,ling,ling:899,1,1,1011.7
modernbert,pretrained,ling,ling:2224,1,0,1011.7
modernbert,pretrained,ling,ling:2399,1,1,1011.7
modernbert,pretrained,ling,ling:383,1,1,1011.7
modernbert,pretrained,ling,ling:2289,1,1,1011.7
modernbert,pretrained,ling,ling:1751,1,1,1011.7
modernbert,pretrained,ling,ling:2659,1,1,1011.7
modernbert,pretrained,ling,ling:492,1,1,1011.7
modernbert,pretrained,ling,ling:472,1,1,1011.7
modernbert,pretrained,ling,ling:810,1,1,1011.7
modernbert,pretrained,ling,ling:1363,1,0,1011.7
modernbert,pretrained,ling,ling:696,1,1,1011.7
modernbert,pretrained,ling,ling:1341,1,1,1011.7
modernbert,pretrained,ling,ling:2410,1,1,1011.7
modernbert,pretrained,ling,ling:481,1,1,1011.7
modernbert,pretrained,ling,ling:2820,1,1,1011.7
modernbert,pretrained,ling,ling:104,1,1,1011.7
modernbert,pretrained,ling,ling:1703,1,1,1011.7
modernbert,pretrained,ling,ling:2423,1,1,1011.7
modernbert,pretrained,ling,ling:1564,1,1,1011.7
modernbert,pretrained,ling,ling:2607,1,0,1011.7
modernbert,pretrained,ling,ling:680,1,1,1011.7
modernbert,pretrained,ling,ling:2836,1,1,1011.7
modernbert,pretrained,ling,ling:471,1,1,1011.7
modernbert,pretrained,ling,ling:1730,1,0,1011.7
modernbert,pretrained,ling,ling:2001,1,1,1011.7
modernbert,pretrained,ling,ling:729,1,1,1011.7
modernbert,pretrained,ling,ling:480,1,1,1011.7
modernbert,pretrained,ling,ling:1755,1,1,1011.7
modernbert,pretrained,ling,ling:511,1,1,1011.7
modernbert,pretrained,ling,ling:1131,1,1,1011.7
modernbert,pretrained,ling,ling:458,1,1,1011.7
modernbert,pretrained,ling,ling:981,1,1,1011.7
modernbert,pretrained,ling,ling:470,1,1,1011.7
modernbert,pretrained,ling,ling:446,1,1,1011.7
modernbert,pretrained,ling,ling:1455,1,0,1011.7
modernbert,pretrained,ling,ling:2579,1,1,1011.7
modernbert,pretrained,ling,ling:1796,1,1,1011.7
