answer,tokens_in,tokens_out,cost_usd,latency_s,id,source,label,model,mode,pred_raw
spam,818,2,8.22e-05,2.11,spamassassin:4742,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,826,2,8.3e-05,2.095,spamassassin:5215,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
phishing,831,3,8.37e-05,2.122,spamassassin:5738,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,737,2,7.41e-05,2.089,spamassassin:4496,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,859,2,8.63e-05,2.081,spamassassin:4625,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,618,2,6.22e-05,0.627,spamassassin:5468,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,886,2,8.9e-05,0.612,spamassassin:5352,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,541,2,5.45e-05,0.501,spamassassin:4114,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,984,2,9.88e-05,0.601,spamassassin:4693,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
phishing,1387,3,0.0001393,0.594,spamassassin:5201,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,849,2,8.53e-05,0.455,spamassassin:5497,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,689,2,6.93e-05,0.61,spamassassin:5378,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,757,2,7.61e-05,0.603,spamassassin:4430,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,817,2,8.21e-05,0.613,spamassassin:5746,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,733,2,7.37e-05,0.576,spamassassin:4692,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,1118,2,0.0001122,0.508,spamassassin:4394,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,905,2,9.09e-05,0.582,spamassassin:5420,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
phishing,1341,3,0.0001347,0.62,spamassassin:5471,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,807,2,8.11e-05,0.568,spamassassin:5118,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,861,2,8.65e-05,0.584,spamassassin:5301,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
phishing,849,3,8.55e-05,0.531,spamassassin:5185,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
phishing,757,3,7.63e-05,0.602,spamassassin:5721,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,693,2,6.97e-05,0.58,spamassassin:5037,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,810,2,8.14e-05,0.565,spamassassin:4473,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
phishing,838,3,8.44e-05,0.544,spamassassin:4169,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,699,2,7.03e-05,0.488,spamassassin:5027,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,661,2,6.65e-05,0.577,spamassassin:4907,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
phishing,1587,3,0.0001593,0.573,spamassassin:4553,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
phishing,951,3,9.57e-05,0.561,spamassassin:4422,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,514,2,5.18e-05,0.55,spamassassin:5012,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,901,2,9.05e-05,0.503,spamassassin:5781,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
phishing,993,3,9.99e-05,0.58,spamassassin:5503,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
phishing,793,3,7.99e-05,0.593,spamassassin:4848,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
phishing,847,3,8.53e-05,0.584,spamassassin:4520,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,683,2,6.87e-05,0.582,spamassassin:5509,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
phishing,868,3,8.74e-05,0.548,spamassassin:5628,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
phishing,728,3,7.34e-05,0.564,spamassassin:4617,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,855,2,8.59e-05,0.529,spamassassin:5362,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
phishing,796,3,8.02e-05,0.535,spamassassin:4792,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,737,2,7.41e-05,0.537,spamassassin:5791,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,972,2,9.76e-05,0.532,spamassassin:4389,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
phishing,605,3,6.11e-05,0.532,spamassassin:4276,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,945,2,9.49e-05,0.544,spamassassin:4869,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
phishing,609,3,6.15e-05,0.532,spamassassin:4433,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,873,2,8.77e-05,0.526,spamassassin:5169,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
spam,792,2,7.96e-05,0.526,spamassassin:5410,spamassassin,1,qwen/qwen-2.5-7b-instruct,few_mix,1
